Date,beta0,beta1,beta2,Taux directeur,europe_beta0,europe_beta1,europe_beta2,Taux directeur_diff,beta0_diff,beta1_diff,beta2_diff,europe_beta0_diff,europe_beta1_diff,europe_beta2_diff
2017-01-01,4.898245827544494,-2.6833950410915888,-2.002550488568455,2.25,1.656032103073423,-2.4023948279547667,-3.4236195712568174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,4.729566893261175,-2.468176609607654,-1.380875398724715,2.25,1.749656800818352,-2.379198741826595,-3.713812235058409,0.0,-0.16867893428331815,0.21521843148393494,0.6216750898437398,0.09362469774492888,0.0231960861281717,-0.2901926638015917
2017-03-01,4.682222445706525,-2.481941362710185,-1.0481240981566915,2.25,1.79445429352015,-2.4576108604428493,-4.056766583066706,0.0,-0.04734444755465006,-0.013764753102531113,0.3327513005680236,0.044797492701798,-0.0784121186162543,-0.3429543480082966
2017-04-01,4.995166079467858,-2.8486873876507337,-1.7414241812673552,2.25,1.827561358615148,-2.613090064879726,-3.573627874947859,0.0,0.31294363376133294,-0.36674602494054875,-0.6933000831106637,0.033107065094998056,-0.1554792044368769,0.4831387081188465
2017-05-01,5.000778609791246,-2.826277372188181,-1.767370396211605,2.25,1.6456445720500574,-2.343772014822693,-3.5585937018278404,0.0,0.005612530323388043,0.022410015462552835,-0.025946214944249757,-0.18191678656509058,0.26931805005703335,0.015034173120018757
2017-06-01,5.227396222835453,-3.106612022357223,-1.8845389870403724,2.25,1.8441877302734644,-2.506177895294437,-3.5290333313525224,0.0,0.22661761304420658,-0.280334650169042,-0.1171685908287674,0.19854315822340696,-0.1624058804717441,0.02956037047531801
2017-07-01,5.305214348533844,-3.147299334901289,-2.0322572120921785,2.25,1.7848861263012938,-2.4198740510716283,-3.462905873591385,0.0,0.07781812569839097,-0.04068731254406632,-0.1477182250518061,-0.05930160397217055,0.08630384422280857,0.06612745776113726
2017-08-01,5.29300132531304,-3.051816981370126,-2.040491698984289,2.25,1.956400460707622,-2.584780408056876,-3.486067963486278,0.0,-0.012213023220803976,0.09548235353116308,-0.008234486892110482,0.17151433440632813,-0.1649063569852478,-0.02316208989489299
2017-09-01,5.278959958411552,-3.0556613509421893,-1.998949243195267,2.25,1.80494112996256,-2.445606096482205,-3.5546038660693307,0.0,-0.014041366901487606,-0.0038443695720631332,0.04154245578902205,-0.15145933074506202,0.13917431157467108,-0.06853590258305253
2017-10-01,5.260691432658924,-3.044406552001293,-2.090039468481668,2.25,1.8701557899298604,-2.566367095345368,-3.5316279633668874,0.0,-0.01826852575262805,0.011254798940896205,-0.0910902252864012,0.06521465996730047,-0.12076099886316305,0.022975902702443207
2017-11-01,5.164954530421021,-2.9718228951582093,-2.1560740957294224,2.25,1.884003990946905,-2.5815232188397115,-3.595025331305955,0.0,-0.09573690223790354,0.07258365684308377,-0.06603462724775433,0.013848201017044648,-0.015156123494343365,-0.06339736793906736
2017-12-01,5.115481093574306,-2.945589126867283,-1.946020261391604,2.25,1.843680639912604,-2.56160991619512,-3.4874390397195887,0.0,-0.049473436846715124,0.026233768290926385,0.21005383433781843,-0.04032335103430107,0.019913302644591457,0.10758629158636612
2018-01-01,5.023737573394383,-2.8067804726694114,-1.737237696256966,2.25,1.7225184140284178,-2.516092398681133,-3.022836031358907,0.0,-0.09174352017992238,0.13880865419787147,0.208782565134638,-0.12116222588418624,0.04551751751398703,0.4646030083606818
2018-02-01,4.920095482842811,-2.651202462824115,-1.4047635974841244,2.25,1.769422994239857,-2.3653677035785403,-3.1369657738166974,0.0,-0.10364209055157225,0.15557800984529635,0.3324740987728416,0.04690458021143917,0.15072469510259268,-0.1141297424577905
