Date,beta0,beta1,beta2,Taux directeur,IPC,PIB,europe_beta0,europe_beta1,europe_beta2,PIB_diff,IPC_diff,Taux directeur_diff,beta0_diff,beta1_diff,beta2_diff,europe_beta0_diff,europe_beta1_diff,europe_beta2_diff
2017-01-01,4.898245827544494,-2.6833950410915888,-2.002550488568455,2.25,99.4,284168.0,1.656032103073423,-2.4023948279547667,-3.4236195712568174,-0.25779136998046237,-0.3063032913077282,0.0,0.034156093779877036,-0.03717156104218752,-0.013271556103312135,-0.11186729648351158,-0.029365177508014245,-0.023677018704815856
2017-02-01,4.729566893261175,-2.468176609607654,-1.380875398724715,2.25,99.5,284168.0,1.749656800818352,-2.379198741826595,-3.713812235058409,-0.25779136998046237,-0.1349004132702527,0.0,-0.9912163520398812,1.3397076341553151,2.146582399882054,0.4368431169493735,0.0820211355380516,-0.746381577689622
2017-03-01,4.682222445706525,-2.481941362710185,-1.0481240981566915,2.25,99.3,284168.0,1.79445429352015,-2.4576108604428493,-4.056766583066706,-0.25779136998046237,-0.6491090473827036,0.0,-0.25364328194749164,-0.12523280209495524,1.1427892618904856,0.15067935342000324,-0.4058958017924207,-0.8777808667563263
2017-04-01,4.995166079467858,-2.8486873876507337,-1.7414241812673552,2.25,99.3,287362.0,1.827561358615148,-2.613090064879726,-3.573627874947859,0.29940782709148556,-0.3063032913077282,0.0,1.936490730389655,-2.383462109580635,-2.4219685614279647,0.08216474648572496,-0.775967653540649,1.1795461862010441
2017-05-01,5.000778609791246,-2.826277372188181,-1.767370396211605,2.25,99.7,287362.0,1.6456445720500574,-2.343772014822693,-3.5585937018278404,-0.25779136998046237,0.37930822084222254,0.0,0.06827377403071262,0.10619852042198571,-0.10341516311878758,-1.1780350660015653,1.2638850918197795,0.013764539300362031
2017-06-01,5.227396222835453,-3.106612022357223,-1.8845389870403724,2.25,100.0,287362.0,1.8441877302734644,-2.506177895294437,-3.5290333313525224,-0.25779136998046237,0.20790534280472267,0.0,1.411728563870792,-1.8306375985434233,-0.42034439616572045,1.051743385922533,-0.8092291658891207,0.049941019146060396
2017-07-01,5.305214348533844,-3.147299334901289,-2.0322572120921785,2.25,99.5,287526.0,1.7848861263012938,-2.4198740510716283,-3.462905873591385,-0.22918126718778878,-1.1633176814951545,0.0,0.5072001180114185,-0.2974722879090918,-0.5264814272427113,-0.4594188338081317,0.3850610733932343,0.14100879578815192
2017-08-01,5.29300132531304,-3.051816981370126,-2.040491698984289,2.25,99.8,287526.0,1.956400460707622,-2.584780408056876,-3.486067963486278,-0.25779136998046237,0.20790534280472267,0.0,-0.04008493426536449,0.5736853492097799,-0.04188021258640343,0.8933343608629327,-0.8212363147744319,-0.08136058569567531
2017-09-01,5.278959958411552,-3.0556613509421893,-1.998949243195267,2.25,100.6,287526.0,1.80494112996256,-2.445606096482205,-3.5546038660693307,-0.25779136998046237,1.064919732992149,0.0,-0.05119914505657578,-0.06176625976723222,0.13105727248111662,-0.9995317054817507,0.6389421115479471,-0.19436089679477236
2017-10-01,5.260691432658924,-3.044406552001293,-2.090039468481668,2.25,100.5,289839.0,1.8701557899298604,-2.566367095345368,-3.5316279633668874,0.1457157505040134,-0.47770616934520377,0.0,-0.07689537220241671,0.03483202341385668,-0.3297416650888332,0.27033915004657266,-0.6092527649571513,0.033542862088586735
2017-11-01,5.164954530421021,-2.9718228951582093,-2.1560740957294224,2.25,101.0,289839.0,1.884003990946905,-2.5815232188397115,-3.595025331305955,-0.25779136998046237,0.550711098879698,0.0,-0.5478133265272477,0.4271888858280744,-0.24269228281914468,-0.030706531339403598,-0.10214403799238965,-0.18156373519509625
2017-12-01,5.115481093574306,-2.945589126867283,-1.946020261391604,2.25,101.2,289839.0,1.843680639912604,-2.56160991619512,-3.4874390397195887,-0.25779136998046237,0.03650246476724716,0.0,-0.26658506965088197,0.13066132168237937,0.7165077329115773,-0.34819214612212235,0.0662573921744489,0.24425912549384052
2018-01-01,5.023737573394383,-2.8067804726694114,-1.737237696256966,2.25,101.4,295512.0,1.7225184140284178,-2.516092398681133,-3.022836031358907,0.7318739540612285,0.03650246476724716,0.0,-0.5235381913701374,0.8508692389981202,0.7120910273647911,-0.8219681209314224,0.18920740524917698,1.133384320688282
2018-02-01,4.920095482842811,-2.651202462824115,-1.4047635974841244,2.25,100.9,295512.0,1.769422994239857,-2.3653677035785403,-3.1369657738166974,-0.25779136998046237,-1.1633176814951545,0.0,-0.5958677104981447,0.9581526939912887,1.1418261938768057,0.1630284545268968,0.6944064096340227,-0.3079091702329503
2018-03-01,5.100691137386462,-2.839115651909752,-1.908443080428203,2.25,101.0,295512.0,1.7771872975973009,-2.350196835076586,-3.337783839514867,-0.25779136998046237,-0.1349004132702527,0.0,1.131968389017723,-1.239363021928014,-1.7631794124063098,-0.06636269985572531,0.04348448768128156,-0.5238003840074137
2018-04-01,5.1239167296667,-2.9209027082274304,-2.0102550451370225,2.25,101.5,298553.0,1.6757556676517726,-2.3209083358157345,-2.995009279146136,0.2727166946080767,0.550711098879698,0.0,0.17534077972293735,-0.5604115805135853,-0.3669916557750851,-0.7063321432936238,0.11127656391734457,0.8299790807886809
2018-05-01,5.114902148234638,-2.874764162989339,-2.075780265423701,2.25,102.1,298553.0,1.6573766738793356,-2.280659936379572,-2.918548914294856,-0.25779136998046237,0.7221139769171735,0.0,-0.020642114723797754,0.25800391531913475,-0.24092247627862176,-0.21958187943286556,0.1639053938473287,0.16674217913349443
2018-06-01,5.112375922254947,-2.8272896073846883,-2.157606460395998,2.25,102.4,298553.0,1.6458099605374208,-2.2011185550764,-3.2596686056882063,-0.25779136998046237,0.207905342804747,0.0,0.01879956735590802,0.2665511613221822,-0.29755611857237907,-0.17965684574531976,0.35258810327375234,-0.8732117826091818
