date,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,30Y
2015-01-02,2.513508771929824,2.520892857142857,2.624,2.753084577114428,,,3.227507936507936,,,,,3.43848,,,,,4.089377900552487,,,,,4.384735384615384,4.992321428571429
2015-01-07,2.491637931034483,2.505446428571429,2.578435897435897,2.746679914070891,,,3.228098765432099,,,,,3.438951428571428,,,,,4.09090276243094,,,,,4.593529382093316,4.995811853720051
2015-01-08,2.491293103448276,2.505625,2.578871794871795,2.747152524167562,,,3.228216931216931,,,,,3.439045714285714,,,,,4.052992817679558,,,,,4.349079445145019,4.993467843631779
2015-01-12,2.490044642857143,2.506339285714286,2.580615384615385,2.68256462585034,,,3.155847368421052,,,,,3.439422857142857,,,,,4.053631491712707,,,,,4.349785624211854,4.994174022698613
2015-01-13,2.49,2.49,2.55975138121547,2.678265306122449,,,2.993860082304527,,,,,3.439517142857143,,,,,3.936749116607774,,,,,4.349962168978562,4.994350567465322
2015-01-14,2.49,2.49,2.566454545454545,2.679921282798834,,,2.994123456790124,,,,,3.439611428571428,,,,,3.93698468786808,,,,,4.350138713745271,4.99452711223203
2015-01-15,2.49,2.49,2.563491935483871,2.684009216589862,,,2.99438683127572,,,,,3.439705714285714,,,,,3.937220259128386,,,,,4.35031525851198,4.994703656998739
2015-01-16,2.49,2.49,2.542760479041916,2.67451948051948,,,2.994650205761317,,,,,3.4398,,,,,3.937455830388692,,,,,4.350491803278688,4.994880201765448
2015-01-19,2.495352564102564,2.49,2.557476190476191,2.661142857142857,,,2.992597295708407,,,,,3.440082857142857,,,,,3.938162544169611,,,,,4.351021437578814,4.995409836065574
2015-01-20,2.495224358974359,2.498796774193548,2.530590909090909,2.594834101382489,,,2.974867724867725,,,,,3.440177142857143,,,,,3.938398115429917,,,,,4.351197982345523,4.995586380832282
2015-01-21,2.495096153846154,2.498970967741935,2.52514798206278,2.575079365079365,,,2.975144032921811,,,,,3.440271428571429,,,,,3.938633686690224,,,,,4.272243076923077,4.99518021978022
2015-01-22,2.494967948717949,2.499145161290323,2.525251121076233,2.590075187969925,,,2.975420340975897,,,,,3.440365714285714,,,,,3.929151943462898,,,,,4.173046153846154,4.994755494505495
2015-01-23,2.498575221238938,2.498413043478261,2.522714285714286,2.606714285714286,,,2.974751322751322,,,,,3.44046,,,,,3.929328621908127,,,,,4.172953846153846,4.994983516483517
2015-01-28,2.439840707964602,2.498211180124223,2.550510638297872,2.580062344139651,,,2.976135802469136,,,,,3.319782857142857,,,,,3.832189045936396,,,,,4.259374527112232,4.986612862547289
2015-01-29,2.440654867256637,2.498266666666667,2.551534090909091,2.580139650872818,,,2.964108239882984,,,,,3.242618722574354,,,,,3.832429917550059,,,,,4.06108,4.985863736263736
2015-01-30,2.437287610619469,2.4903125,2.552,2.580216957605985,,,2.96426084836665,,,,,3.24277133105802,,,,,3.832670789163722,,,,,4.060615384615385,4.986122252747253
2015-02-02,2.440353982300885,2.501046391752577,2.526,2.582638655462185,,,2.95922810111699,,,,,3.243428571428571,,,,,3.833082449941107,,,,,4.059950769230769,4.986901098901099
2015-02-05,2.436543650793651,2.470655737704918,2.521648351648352,2.588311688311688,,,2.962149253731343,,,,,3.203771428571429,,,,,3.732679623085984,,,,,4.042953846153846,4.987663461538462
2015-02-06,2.436214285714286,2.496063829787234,2.533736263736264,2.55,,,2.962358208955224,,,,,3.20374,,,,,3.732862190812721,,,,,4.038338461538461,4.987912087912088
2015-02-09,2.430075892857143,2.449090909090909,2.545238095238095,2.548979591836734,,,2.955597014925373,,,,,3.203645714285714,,,,,3.733409893992933,,,,,4.038615384615385,4.988695054945055
2015-02-10,2.430379464285715,2.45030303030303,2.510357142857143,2.603478991596639,,,2.920294532627866,,,,,3.203614285714286,,,,,3.784415783274441,,,,,4.014784615384615,4.988928571428572
2015-02-11,2.430683035714286,2.449771428571429,2.511621848739495,2.547449541284403,,,2.920477366255144,,,,,3.203582857142857,,,,,3.727537691401649,,,,,4.014799999999999,4.989196428571429
2015-02-12,2.431160714285714,2.465888888888889,2.511848739495798,2.549387755102041,,,2.939331569664903,,,,,3.203551428571429,,,,,3.727724381625442,,,,,4.014815384615384,4.989464285714286
