Date d'échéance,Transaction,Taux moyen pondéré,Date de la valeur
18/05/2026,0,"2,270 %",25/03/2026
17/08/2026,0,"2,340 %",25/03/2026
15/02/2027,0,"2,460 %",25/03/2026
20/09/2027,0,"2,580 %",25/03/2026
15/04/2030,0,"2,930 %",25/03/2026
14/04/2031,0,"3,040 %",25/03/2026
18/06/2035,0,"3,270 %",25/03/2026
18/07/2039,0,"3,500 %",25/03/2026
14/08/2045,0,"3,650 %",25/03/2026
19/04/2055,0,"4,080 %",25/03/2026
Total,0,,
