Date d'échéance,Transaction,Taux moyen pondéré,Date de la valeur
16/03/2026,0,"2,260 %",18/12/2025
18/05/2026,0,"2,280 %",18/12/2025
14/09/2026,0,"2,290 %",18/12/2025
15/03/2027,0,"2,370 %",18/12/2025
17/07/2028,0,"2,530 %",22/12/2025
14/04/2031,0,"2,610 %",18/12/2025
18/06/2035,0,"2,930 %",18/12/2025
18/07/2039,0,"3,250 %",18/12/2025
14/08/2045,0,"3,460 %",18/12/2025
19/04/2055,0,"3,850 %",18/12/2025
Total,0,,
