Date d'échéance,Transaction,Taux moyen pondéré,Date de la valeur
17/11/2025,0,"2,160 %",03/10/2025
19/01/2026,0,"2,200 %",03/10/2025
14/09/2026,0,"2,230 %",03/10/2025
15/03/2027,0,"2,260 %",03/10/2025
15/04/2030,0,"2,440 %",03/10/2025
14/10/2030,0,"2,480 %",03/10/2025
18/06/2035,0,"2,760 %",03/10/2025
18/07/2039,0,"3,080 %",03/10/2025
14/08/2045,0,"3,310 %",03/10/2025
19/04/2055,0,"3,740 %",03/10/2025
Total,0,,
