Date d'échéance,Transaction,Taux moyen pondéré,Date de la valeur
16/03/2026,0,"2,230 %",25/12/2025
18/05/2026,0,"2,240 %",25/12/2025
14/09/2026,0,"2,250 %",25/12/2025
15/03/2027,0,"2,370 %",25/12/2025
15/04/2030,0,"2,560 %",25/12/2025
14/04/2031,0,"2,610 %",25/12/2025
18/06/2035,0,"2,910 %",25/12/2025
18/07/2039,0,"3,210 %",25/12/2025
14/08/2045,0,"3,450 %",25/12/2025
19/04/2055,0,"3,850 %",25/12/2025
Total,0,,
