Date d'échéance,Transaction,Taux moyen pondéré,Date de la valeur
17/11/2025,0,"2,160 %",08/10/2025
19/01/2026,0,"2,200 %",08/10/2025
17/08/2026,0,"2,160 %",13/10/2025
15/03/2027,0,"2,280 %",08/10/2025
17/01/2028,0,"2,330 %",13/10/2025
14/10/2030,0,"2,480 %",08/10/2025
18/06/2035,0,"2,780 %",08/10/2025
18/07/2039,0,"3,060 %",08/10/2025
14/08/2045,0,"3,300 %",08/10/2025
19/04/2055,0,"3,740 %",08/10/2025
Total,0,,
