Date d'échéance,Transaction,Taux moyen pondéré,Date de la valeur
16/03/2026,0,"2,250 %",06/02/2026
18/05/2026,0,"2,330 %",06/02/2026
14/09/2026,0,"2,360 %",06/02/2026
15/03/2027,0,"2,460 %",06/02/2026
15/04/2030,0,"2,850 %",06/02/2026
14/04/2031,0,"2,910 %",06/02/2026
18/06/2035,0,"3,110 %",06/02/2026
16/04/2040,0,"3,340 %",06/02/2026
14/08/2045,0,"3,580 %",06/02/2026
19/04/2055,0,"4,000 %",06/02/2026
Total,0,,
