Date,beta0_ecb,beta1_ecb,beta2_ecb
2004-09-06,5.316082114396704,-3.3277179637074346,-2.320786592576335
2004-09-07,5.285097831780332,-3.289949898561978,-2.176125344094431
2004-09-08,5.282532706434291,-3.2903077534507807,-2.0650151912938313
2004-09-09,5.254642783879333,-3.251412398663919,-2.292157591564094
2004-09-10,5.241341635080984,-3.2348833235710375,-2.4690426627521305
2004-09-13,5.235061976465495,-3.2212135663751202,-2.332772765054551
2004-09-14,5.238051120938401,-3.2253170459294,-2.3899329938030855
2004-09-15,5.231647449451463,-3.21688329199587,-2.378148954797596
2004-09-16,5.219846589463265,-3.200177327876863,-2.327369739981496
2004-09-17,5.212011818240423,-3.184361886993139,-2.4782530556714035
2004-09-20,5.187619716005655,-3.161098040730487,-2.458615783258884
2004-09-21,5.189303817442693,-3.158881232403704,-2.426907887480874
2004-09-22,5.159760598612515,-3.12499892302864,-2.415504023613633
2004-09-23,5.119615948980847,-3.0811362084216816,-2.630531615457291
2004-09-24,5.1374290829108595,-3.093169505234668,-2.476721879328571
2004-09-27,5.120687952729763,-3.0726861682068924,-2.5466897247908213
2004-09-28,5.131124068752362,-3.085826321069661,-2.569760090173144
2004-09-29,5.162187387475986,-3.1101186499707025,-2.5080717911691934
2004-09-30,5.195873116340901,-3.1659689370710637,-2.540475050116701
2004-10-01,5.242172262834154,-3.186034249764207,-2.6949987436476976
2004-10-04,5.234141145176455,-3.1933925251988153,-2.5154179592001547
2004-10-05,5.202616916290999,-3.1543974027826263,-2.5880646798747855
2004-10-06,5.1883750699936515,-3.138377767027662,-2.5771163900149814
2004-10-07,5.207967011717476,-3.1587593189627583,-2.6018687333602584
2004-10-08,5.185054455011516,-3.145241664584918,-2.792123497520458
2004-10-11,5.211517560876771,-3.1579179316221246,-2.86017449999364
2004-10-12,5.177983122511456,-3.123617234904585,-2.950885753462522
2004-10-13,5.174586620024063,-3.115640007801158,-2.880133388563141
2004-10-14,5.165339940892609,-3.1076941235519264,-2.945434459576061
2004-10-15,5.1686136670635205,-3.1108080012128214,-3.0384769209389657
2004-10-18,5.193488316760201,-3.132762038685727,-3.09351182316558
2004-10-19,5.211813426709329,-3.149959016784572,-3.0632754224287932
2004-10-20,5.188054539286819,-3.1140835681953822,-3.1970726901722157
2004-10-21,5.1734536408916965,-3.0974062574650354,-3.15076003041915
2004-10-22,5.168636749883339,-3.086575442110134,-3.1233886884691593
2004-10-25,5.15409823740585,-3.0641767999147547,-3.2743797574334677
2004-10-26,5.153412139318796,-3.0550895858341285,-3.3062315079477798
2004-10-27,5.145073807618346,-3.0430186801706993,-3.260965565349923
2004-10-28,5.178518507058059,-3.0944616450313625,-2.985681091047891
2004-10-29,5.168386773107088,-3.048247094598544,-3.2404924550456777
2004-11-01,5.203271832515387,-3.0990144663481614,-3.2452448081914365
2004-11-02,5.201965889139231,-3.1006627938286373,-3.1222882166514023
2004-11-03,5.198590135777196,-3.1419982674774616,-3.051560722811526
2004-11-04,5.197217354917822,-3.154791037597853,-3.0293570024396552
2004-11-05,5.195226935687495,-3.171158577998945,-2.998621400180156
2004-11-08,5.19399776668645,-3.190510917209928,-2.9669065498360356
2004-11-09,5.120210053523553,-2.9793240391690174,-3.0437249426523323
2004-11-10,5.103932490897582,-2.96463325141735,-3.073069812867459
2004-11-11,5.104180931156355,-2.955185322202115,-3.2091275774646655
2004-11-12,5.072894660934345,-2.931376700025006,-3.1890796338608314
2004-11-16,4.989641146774288,-2.8320520664283335,-3.10620295262028
2004-11-17,5.014619345793721,-2.8589953783305697,-3.113544182635404
2004-11-19,5.019670716456858,-2.861809515872277,-3.073250894090657
2004-11-22,4.999605605075769,-2.8384264356649735,-3.1368301382272605
2004-11-23,4.989998156613729,-2.8233583998388383,-3.148496942566241
2004-11-24,5.000602373072419,-2.8371710144155813,-3.2396586560370375
2004-11-25,4.99257048086552,-2.8460479895547914,-3.2661836219904523
2004-11-26,4.972026177985242,-2.8381410266409484,-3.1973550161849595
2004-11-29,5.002393118817696,-2.8656916923278546,-3.114540805758524
2004-11-30,4.991097569028413,-2.8598819854853,-3.1781506310196934
2004-12-01,4.969835307314918,-2.846913743534391,-3.213001736502529
2004-12-02,4.969824707658649,-2.838499197152242,-3.0600226689418055
2004-12-03,4.9676990339579765,-2.8258075411540107,-3.20113648998761
2004-12-06,4.93402346039451,-2.8037128902621706,-3.3110374676582635
2004-12-07,4.914940322216047,-2.7739188534443464,-3.372943642459785
2004-12-08,4.888900461063357,-2.7492638519847445,-3.2429956792550287
2004-12-09,4.805697527473232,-2.660634247399428,-3.2742620386515595
2004-12-10,4.7667083692580325,-2.6043219260553063,-3.2333967319844485
2004-12-13,4.764255069129806,-2.61929606432382,-3.1695365000281543
2004-12-14,4.735102382508154,-2.584058449807419,-3.1272223819658067
2004-12-15,4.670590788377392,-2.5180032330587245,-3.0927155295987467
2004-12-16,4.655285332813556,-2.515742389492305,-2.8654814537782256
2004-12-17,4.673911412079012,-2.5471508594656695,-2.685544878608528
2004-12-20,4.673752561545142,-2.5282673150725485,-2.8684461749322026
2004-12-21,4.685744728321756,-2.4961344443619238,-2.8009926309443083
2004-12-22,4.675406254649756,-2.5307794401532657,-2.6717152412562397
2004-12-23,4.677852219178019,-2.533171832828494,-2.813227966053565
2004-12-24,4.692754541248059,-2.528023037399267,-3.0216253974606944
2004-12-27,4.6963956546024646,-2.5534405064520755,-2.775439390886962
2004-12-28,4.734077590512727,-2.53895887675482,-2.9722989551573074
2004-12-29,4.7538951689414315,-2.6190027994104392,-2.612154672193792
2004-12-30,4.758663909391076,-2.6317610527183053,-2.628460343303889
2004-12-31,4.758364956132878,-2.6505080635923197,-2.6043250348047975
2005-01-03,4.768601124125354,-2.5878818578042493,-2.956415277733927
2005-01-04,4.707490320109346,-2.605469803126646,-2.5795643238144543
2005-01-05,4.721738137637859,-2.618136759215154,-2.5063450722904848
2005-01-06,4.699501340894604,-2.5953318824287006,-2.6836730774579545
2005-01-07,4.669461191009144,-2.5749777488547783,-2.713296461606819
2005-01-10,4.6630499803624454,-2.5856921786203335,-2.6728054714593346
2005-01-12,4.6465227766470925,-2.5433038015372222,-2.6137157356707843
2005-01-13,4.6263256355183895,-2.52873228154088,-2.7282822192960046
2005-01-14,4.582282404183782,-2.488400863323088,-2.5909077293667635
2005-01-17,4.552220846906718,-2.461576156956638,-2.591547833284388
2005-01-18,4.543670961702027,-2.4582186955491854,-2.4781145296040332
2005-01-19,4.468483410036221,-2.3882729362287107,-2.3836597401619555
2005-01-20,4.5320129124114805,-2.451106477028917,-2.3812737542693907
2005-01-24,4.534934837403236,-2.45372646572319,-2.511744534938365
2005-01-25,4.469626023114024,-2.4008805496887033,-2.3949812539387003
2005-01-26,4.494072188695589,-2.4384720689151407,-2.280153696974872
2005-01-27,4.500543454469613,-2.451597899816858,-2.152439991064525
2005-01-28,4.491987620184702,-2.425054274329124,-2.34775149092419
2005-01-31,4.479900351094427,-2.412455670119082,-2.3028369036356264
2005-02-01,4.477647278649127,-2.427645140978793,-2.2731278801337886
2005-02-02,4.428371900553703,-2.368830590836066,-2.1793424026746058
2005-02-03,4.391681057987816,-2.3396964606663455,-1.9669520252589838
2005-02-04,4.336334492441282,-2.2891884409005048,-1.976050694800122
2005-02-07,4.2617108000975605,-2.2255500652816322,-1.797864288590609
2005-02-08,4.269703264697962,-2.221423780501862,-1.7937219658619765
2005-02-09,4.228933982500781,-2.185279361517992,-1.826346065976866
2005-02-11,4.319113969405112,-2.2619271922786908,-2.097562966762313
2005-02-14,4.343438868445945,-2.2880106806568863,-2.0428642257132874
2005-02-15,4.336604092327768,-2.2896603948952072,-1.9499268950167212
2005-02-16,4.349082473018868,-2.2884293495363464,-2.0809440409197926
2005-02-17,4.4368652496105,-2.4033505643695583,-1.9295680737999428
2005-02-18,4.521474968839947,-2.509510727306961,-1.8850431974418673
2005-02-21,4.5384544203664205,-2.523576265385825,-1.8602722345156075
2005-02-22,4.573279230931692,-2.5520474629098207,-1.9485928241695512
2005-02-23,4.575435535698497,-2.542744100854707,-2.0489971503874576
2005-02-24,4.608763406924713,-2.5716097339059045,-2.0635969470592403
2005-02-25,4.616028656445923,-2.588765598849517,-1.9285419463801545
