,3M_x,6M_x,1Y_x,2Y_x,3Y_x,4Y_x,5Y_x,6Y_x,7Y_x,8Y_x,9Y_x,10Y_x,11Y_x,12Y_x,13Y_x,14Y_x,15Y_x,16Y_x,17Y_x,18Y_x,19Y_x,20Y_x,30Y_x
2026-06-19,2.322531182438585,2.3177247226772804,2.334555911331021,2.435464917780848,2.5776999150185462,2.728430762766542,2.8718591165895515,3.0013698395470363,3.1151164217925444,3.213578919066162,3.2982446863948063,3.370920610239296,3.4333947687781716,3.487287032827471,3.533998377568916,3.5747089883842103,3.61039816638138,3.6418719185122295,3.6697912380309705,3.6946979301526808,3.7170368501525206,3.7371744189482503,3.8650205291465993
2026-06-22,2.323956262354924,2.319125091427906,2.3359126586687786,2.4367531357316796,2.5789380218351794,2.7296316081862275,2.8730317775044787,3.0025208125451877,3.116250420920961,3.214699413698853,3.2993542669342992,3.3720212390004907,3.4344879537478015,3.488373949218812,3.5350799537499973,3.5757859672824988,3.6114711498540517,3.642941399771748,3.6708576256125967,3.695761565832328,3.7180980224930624,3.73823337365405,3.866065433541483
2026-06-23,2.325369513020504,2.320514225409629,2.3372592161789316,2.4380327923170904,2.580168745994614,2.7308259394695917,2.874198576039788,3.003666421310229,3.1173794435002815,3.215815238819871,3.300459425205848,3.3731176477133222,3.4355770864631605,3.4894569544327445,3.536157738795951,3.5768592582998635,3.6125405351279865,3.6440073614103907,3.6719205629644014,3.6968218129945223,3.719155861549642,3.7392890447954072,3.86710736933493
2026-06-24,2.3267711587409505,2.3218923332260624,2.338595765293139,2.439304027887725,2.581392199283944,2.732013848134523,2.875359589016225,3.004806731766388,3.118503547193824,3.216926445691915,3.301560207409077,3.3742098784943906,3.4366622056896614,3.490536084440212,3.5372317663143744,3.5779288930200783,3.613606352034734,3.6450698317278873,3.672980077035507,3.6978786973885343,3.7202103919984415,3.7403414560830317,3.8681463541262864
2026-06-25,2.3281614189265425,2.3232596191343498,2.3399224840090764,2.4405669806277634,2.582608492098086,2.733195424782235,2.8765148926319632,3.00594180939896,3.119622789342089,3.218033085329495,3.3026566595443887,3.3752979732940322,3.437743350049308,3.491611375085139,3.538302069798025,3.5789949029214543,3.614668630307841,3.6461288389320816,3.67403619468829,3.6989322446813024,3.721261638437165,3.7413906311525604,3.869182405460841
2026-06-26,2.3295405081844516,2.3246162831065202,2.341239546902892,2.441821786507154,2.5838177333632117,2.7343707590093023,2.877664562372569,3.007071719166943,3.120737226880243,3.2191352084220455,3.3037488273417592,3.3763819738304943,3.438820557959799,3.492682862027976,3.539368682572322,3.5800573193278535,3.6157273995369943,3.6471844110958545,3.6750889426577906,3.69998248041907,3.7223096253486756,3.7424365935300083,3.8702155408067944
2026-06-29,2.3309086364109666,2.3259625208933272,2.3425471251480303,2.4430685792446525,2.585020030472729,2.735539939332538,2.878808672933381,3.0081965254273357,3.121846916266402,3.2202328652669756,3.3048367561986662,3.3774619215325132,3.439893867581382,3.4937505806964033,3.540431637749498,3.5811161733659165,3.6167826891279704,3.648236576119503,3.67613834751626,3.701029429993872,3.7233543770692314,3.7434793666015813,3.8712457775351283
2026-06-30,2.3322660088834897,2.327298524090145,2.343845386539618,2.4443074902804516,2.586215489234438,2.7367030531253365,2.879947298152987,3.0093162918698724,3.122951913419589,3.2213261057116336,3.305920491126207,3.3785378574894205,3.4409633167706493,3.4948145662424666,3.5414909681887226,3.5821714959278372,3.6178345282677853,3.6492853616980043,3.677184435642307,3.702073118614375,3.724395917760847,3.744518973587414,3.8722731329020994
2026-07-01,2.333612826352123,2.3286244802045055,2.3451344955236855,2.445538648757326,2.587404213827657,2.7378601865642618,2.881080510956637,3.0104310814610993,3.1240522736663476,3.222414979103235,3.307000076702536,3.3796098224079887,3.442028943040542,3.4958748535054567,3.5425467064615574,3.583223317639128,3.6188829458945015,3.650330795292644,3.6782272331941654,3.7031135712806096,3.7254342713873436,3.745555437518806,3.873297624034061
2026-07-02,2.3349492851306803,2.329940572724943,2.34641461323057,2.446762181509294,2.5885863067692108,2.7390114245847688,2.8822083833085053,3.0115409563967903,3.1251480516950974,3.223499534245922,3.3080755570328573,3.380677856575305,3.443090783525923,3.496931476979935,3.5435988848221935,3.584271668830825,3.619927970671204,3.65137290410657,3.679266766086649,3.7041508127621814,3.7264694616936964,3.746588781218602,3.874319267914387
2026-07-03,2.336275577186986,2.3312469811908096,2.3476858975119415,2.447978213056948,2.589761868887309,2.740156850845073,2.883330986171879,3.0126459780618307,3.1262393015174035,3.224579819364202,3.3091469757152883,3.381741999827039,3.4441488749541187,3.497984470788365,3.5446475351819653,3.5853165795156943,3.6209696309637054,3.65241171506384,3.6803030599714055,3.705184867579615,3.7275015121883484,3.747619027284382,3.875338081372266
2026-07-06,2.337591890232336,2.3325438812628065,2.3489485029809107,2.4491868656086404,2.590930999302421,2.7412965476972673,2.8844483894763937,3.0137462069967405,3.1273260764354305,3.225655882072077,3.310214375811945,3.382802291520535,3.4452032536199115,3.4990338686578544,3.5456926890876828,3.5863580793679875,3.6220079548215836,3.6534472547916033,3.6813361402201217,3.706215759988467,3.7285304461281568,3.748646198074154,3.8763540810731647
2026-07-07,2.3388984078100212,2.3338314447939643,2.3502025810547704,2.4503882590668367,2.5920937954143484,2.7424305961648874,2.885560662091558,3.014841702870144,3.1284084290149052,3.226727769347256,3.3112777998247154,3.3838587705122016,3.4462539553644986,3.500079703900577,3.5467343777033777,3.587396197706386,3.6230429699621975,3.6544795496050764,3.682366031910359,3.7072435139659436,3.7295562865057015,3.749670315694295,3.8773672835107944
2026-07-08,2.3401953093828096,2.3351098399008667,2.3514482799999508,2.451582511038994,2.593250352894799,2.743559075926206,2.8866678718058707,3.0159325244565194,3.1294864110629934,3.227795527509906,3.3123372896752024,3.3849114751387437,3.447301015557998,3.501122009397467,3.5477726317950986,3.588430963479787,3.624074703757362,3.655508625495016,3.683392759813742,3.7082681531997315,3.730579056038701,3.7506914019894957,3.878377705000409
2026-07-09,2.3414827704193253,2.3363792310349205,2.352685744978821,2.452769736852399,2.594400765684798,2.7446820653026016,2.887770085310905,3.0170187296186524,3.1305600736105523,3.2288592022054337,3.3133928866883817,3.3859604432018227,3.44834446908511,3.502160817584843,3.5488074817184154,3.589462405255613,3.625103183222386,3.6565345081174137,3.6844163483862484,3.7092897010788124,3.731598777161303,3.751709478534478,3.8793853616732905
2026-07-10,2.3427609624792463,2.337639779053497,2.3539151180980094,2.453950049572457,2.5955451259963813,2.7457996412514265,2.888867368189809,3.0181003752942672,3.131629466898278,3.2299188383908657,3.314444631579567,3.387005711955756,3.449384350333591,3.5031961604436317,3.549838957408348,3.5904905512103853,3.6261284350072307,3.657557222785178,3.685436821760353,3.710308180686042,3.7326154720170526,3.7527245666273155,3.880390269472299
