Date,3M_x,6M_x,1Y_x,2Y_x,3Y_x,4Y_x,5Y_x,6Y_x,7Y_x,8Y_x,9Y_x,10Y_x,11Y_x,12Y_x,13Y_x,14Y_x,15Y_x,16Y_x,17Y_x,18Y_x,19Y_x,20Y_x,30Y_x
2004-09-06,2.49621281283663,2.5336460407356465,2.6469349790878103,2.96378154892488,3.3231132164885784,3.6741622272771206,3.994550922570468,4.276787791377361,4.520776203329353,4.729748323728287,4.908128145346783,5.060464488178341,5.190944855345899,5.303214844977902,5.400350515347638,5.484900896754312,5.55895709512759,5.6242261699479466,5.68209975321574,5.733713568692801,5.779997110196585,5.821714162912077,6.086506793218504
2004-09-07,2.5406960827843226,2.5784460123734823,2.6914916446341737,3.0055958024731204,3.360752755701957,3.7072723136968775,4.023302628571248,4.30157901358143,4.542075218482247,4.748016472453979,4.923785474155181,5.073877953431862,5.20242776362295,5.313031375758278,5.408722087189915,5.49201275662398,5.564964390138661,5.629259224107054,5.686268504097847,5.737111225832038,5.782703137735275,5.82379669664297,6.084630800679278
2004-09-08,2.54806138127255,2.5845676441008605,2.6953810668581837,3.005870093148138,3.3582839677949914,3.702698427700516,4.017093658169365,4.294084003153682,4.533555682118521,4.738670231707569,4.913763701330264,5.063297404279641,5.191379598852341,5.301587557730475,5.3969400472509,5.479938824030686,5.552636329899965,5.616708130157362,5.673520223261037,5.724187438038933,5.769622182643843,5.81057421178579,6.070511244579165
2004-09-09,2.5584790358513367,2.593909145830275,2.702751296690377,3.009932858584029,3.359734633071839,3.7020796314661304,4.014826336189586,4.29049400886092,4.528895481967105,4.733136045358364,4.907508780240859,5.0564421918888005,5.184019446440744,5.2937985605817515,5.38878345305263,5.471464365161593,5.543884748219415,5.607713097018537,5.664309806553444,5.714785229411607,5.76004816905789,5.800845453950585,6.059801335005078
2004-09-10,2.5675458786164427,2.6011046487351086,2.7067528538260097,3.0092386341512376,3.355902577532253,3.6961087589381743,4.007364825689938,4.281968209494004,4.5195902701140165,4.723245161988643,4.897166571959186,5.045743780363244,5.173033659537464,5.282576308162183,5.377363215661704,5.459875838017865,5.532151295588254,5.595853431345693,5.652339156448757,5.70271616623131,5.747891202245884,5.78860946739696,6.04706582609023
2004-09-13,2.5809309934789897,2.6128757337230484,2.7157088137364496,3.0138721614155757,3.357467430238795,3.695452291811632,4.005067709292294,4.278434359033548,4.515105155865471,4.718013928496275,4.891339183026123,5.039431769797914,5.166321409653687,5.275528731236524,5.370031049573141,5.45229934398071,5.52436287449165,5.587879500141192,5.644201512334317,5.694432992008141,5.739477817191587,5.780078895398487,6.037793140329918
2004-09-14,2.5869043197082906,2.6167742573514707,2.7162005372347653,3.009764079035529,3.350687274172479,3.687139532044661,3.995892853656995,4.26878950962636,4.505217597445006,4.708013735780973,4.881299383224396,5.029392142380094,5.156302544134234,5.265540295040542,5.360076622562002,5.442379222982004,5.5144756821463625,5.578023093042685,5.634373481326894,5.684630927329169,5.729699439814373,5.77032211370814,6.028175810753405
2004-09-15,2.5973871493558436,2.625908032572005,2.7230642362888617,3.013389001395565,3.352244929060575,3.6873577977634926,3.9952273813771035,4.267528196959546,4.503544431522056,4.706047929570222,4.87911945768854,5.027050813691269,5.153835978339623,5.262973900293167,5.357428703938002,5.439663311135674,5.511702034127798,5.575199672584683,5.631506608999858,5.681725719189238,5.726760108942977,5.767352181668681,6.025013142407731
2004-09-16,2.6083413133180735,2.637440727647979,2.7352815764353666,3.025691780160973,3.3637000921279023,3.697584778957788,4.0041342462357274,4.2751647043407806,4.51002201445332,4.711497559048337,4.8836706333556785,5.030822090448575,5.156931597798394,5.26548349587884,5.359428421903254,5.4412174674740275,5.512864861566864,5.576016949486052,5.632017088375793,5.6819623403196085,5.72675100434652,5.7671215043550355,6.023375183808828
2004-09-17,2.614682430432092,2.642777068786474,2.7389191100006354,3.0268807263350714,3.363300982747892,3.6961378300713097,4.001981711979085,4.272525840955421,4.507039162809259,4.70826458644908,4.880250572082681,5.0272581396255465,5.153254033004761,5.261714044243178,5.355583059172949,5.4373082264441415,5.508901016548258,5.572005803564929,5.627964505269761,5.677873110112433,5.722629099758602,5.762970263831756,6.019038848401557
2004-09-20,2.620287173284961,2.647117926344541,2.7411697211552,3.026261804523964,3.3609645163452755,3.6927743936908453,3.9980051111731774,4.268183900958311,4.502480195267714,4.703577259795857,4.875487823610377,5.022451513327196,5.148422274094052,5.256868248991827,5.350729759159332,5.432451234511484,5.504042530678523,5.567147066229999,5.623106196655881,5.673015582137682,5.717772514939355,5.758114677354811,6.01419103421008
2004-09-21,2.626444319248311,2.652417906510212,2.745028502587965,3.028067995436094,3.3614642152359964,3.692430358552205,3.997106436376352,4.266912811047331,4.500952822653326,4.701868613835783,4.873647135198043,5.020511706464338,5.146405843717098,5.254790932401129,5.348602847353449,5.430283041033703,5.501839335541356,5.5649137304839895,5.620846568579302,5.670732770284639,5.715469075137,5.755792743346607,6.011752665054075
2004-09-22,2.6317745956244445,2.655421042146757,2.744347522640808,3.022846089863793,3.3540678528601964,3.684170047872143,3.9886851524433826,4.258688175669373,4.49308947758629,4.6944260766938255,4.8666299135329,5.013897457404074,5.140160856735386,5.248878364342227,5.342986869710169,5.424930725906099,5.496721326164167,5.560004287730632,5.616123321994777,5.66617635151121,5.711062726232835,5.751521944931298,6.008345031922566
2004-09-23,2.636254157834972,2.6573394149000378,2.7422205897280447,3.0157636560953436,3.3446483078177094,3.673857913509927,3.978250760958112,4.248519518566001,4.483361604636177,4.685198607091894,4.85790253530698,5.005641018991296,5.132334387511419,5.241438067133158,5.335890598303703,5.418139974875033,5.490201891579583,5.55372625212101,5.6100607251515,5.6603067418149315,5.705366692860758,5.745982678941308,6.0038038894509205
2004-09-24,2.6472813567866513,2.6666682097124013,2.748776022389265,3.0186232291953408,3.3454129903203462,3.6734641063807216,3.977241817540131,4.247207175281111,4.481921768623945,4.6837280499172,4.8564523387925425,5.004236222027708,5.13098546156614,5.2401475675312295,5.334656978411185,5.4169597403056065,5.489070789753137,5.5526399064249246,5.60901495344945,5.659297698882022,5.704390917334215,5.7450370907880535,6.00305186938819
2004-09-27,2.6604829665913683,2.680820141463565,2.764240846097931,3.0350779381544166,3.361605588283819,3.6888140510992025,3.991530658533003,4.260403752519896,4.494085077607654,4.694954550436569,4.866848405910468,5.013904597978713,5.140019331218941,5.248628647272592,5.342655605453407,5.424535863674967,5.496275281915319,5.559515903377686,5.615599089021291,5.665621182724427,5.7104804484515315,5.7509156181611765,6.007589789220844
2004-09-28,2.66616148089755,2.6849264130478723,2.765817501889564,3.0334035498475354,3.3582184599062326,3.6845899636829347,3.9869590875274623,4.255750649365606,4.489488418652479,4.690480131234326,4.862522198028163,5.009731339938006,5.135993073166311,5.244738622224046,5.338889408963401,5.420881101121948,5.492720357404474,5.55605033909014,5.612213596963943,5.6623076137337405,5.707231687220173,5.747725460981081,6.0047734564142505
2004-09-29,2.6664919202953397,2.683882900908656,2.762529777985879,3.027123042377037,3.350239321302811,3.6756695553993635,3.9775371988600052,4.246079857648679,4.479711458758657,4.68067570133174,4.852731991887092,4.999975933525631,5.126281209307768,5.235072596231502,5.3292681602824405,5.411301962038345,5.483180020782099,5.546545376036631,5.602740718369291,5.652863788672028,5.697814183509772,5.738331845219141,5.995533049452457
2004-09-30,2.6692375430622297,2.6861400378132876,2.763905522813617,3.027057958005738,3.3490690322054903,3.6736435506085763,3.9748417473578423,4.24285483172861,4.4760626248349045,4.676683676737431,4.848458767986793,4.995469630969226,5.121579552548391,5.230205461080788,5.324259450208064,5.406170997516185,5.4779425744047785,5.541214448942337,5.597327126904709,5.647376611103046,5.69226110290408,5.732719414802681,5.989544399126666
2004-10-01,2.671587389846649,2.6875936283402138,2.7638608380660203,3.0249061016685785,3.345603021974485,3.6693492967534738,3.970018430405657,4.237687800254366,4.4706676088361,4.671133654470078,4.8428003301458675,4.989732976693265,5.115784617329143,5.224365690085827,5.318384134533488,5.400266730512888,5.472014167075981,5.5352655111843365,5.591360441088683,5.641394375667931,5.686265093861677,5.726711094856171,5.983458942259926
2004-10-04,2.6726513408368895,2.687079121407931,2.760807504151192,3.0185924305242864,3.3375745743715663,3.6604855025461944,3.960810417512191,4.228402098549006,4.4614422204863775,4.6620341380079395,4.833852314345447,4.980940833437101,5.107142046323611,5.215861607339248,5.310005857255337,5.392001623661593,5.463850428853919,5.5271924880549035,5.583368695147396,5.633475629623374,5.678412122545131,5.718917599975428,5.9760448170228795
2004-10-05,2.6774472978025186,2.6915833868062973,2.7647647913058284,3.021596080001596,3.3397941834371565,3.662065153788542,3.961868742023556,4.2290350135166594,4.461726501815866,4.662030954633179,4.8336103590710096,4.980498941423537,5.106531312790128,5.215107065431304,5.309127790807989,5.391016586843232,5.462772035322147,5.526032021223229,5.5821355807036275,5.632177802431807,5.677056312699007,5.717509556932052,5.974305509585625
2004-10-06,2.676057139097908,2.690234474521807,2.7634377440611186,3.0201535258779857,3.3381294250670073,3.660144675843846,3.9596956422414347,4.22662899877391,4.459113272474843,4.659236835340608,4.830659804415091,4.977413572352878,5.103329732447395,5.211805042339106,5.305738589580015,5.3875513340413725,5.459240067021153,5.522441190315286,5.578492518098655,5.628488134016241,5.673324837128472,5.713740390241671,5.97029701906263
2004-10-07,2.675510678354689,2.6899078227530215,2.763404074361136,3.0203005809361687,3.338151682237439,3.659905324083244,3.959147982874369,4.2257722345260955,4.4579680922618765,4.657832288633234,4.829026533884215,4.975580565888502,5.101322975027932,5.20964715499676,5.303448949539488,5.385146402202645,5.456733779801696,5.519845345446288,5.575817123315593,5.625741708194562,5.670514663630549,5.710872726816612,5.967064139072753
2004-10-08,2.674070557178647,2.6897478574368887,2.765184088519251,3.0241875581533275,3.3427146514412964,3.664402853330401,3.963224402983318,4.229282777702779,4.46087928188119,4.660166005034322,4.830829242580712,4.976906900392526,5.1022273998543595,5.210180092217709,5.3036553037694025,5.38506531968827,5.456398996649926,5.519285776744573,5.5750575123671915,5.6248032480311565,5.669415553313959,5.709628651337584,5.964898318789851
