,3M_x,6M_x,1Y_x,2Y_x,3Y_x,4Y_x,5Y_x,6Y_x,7Y_x,8Y_x,9Y_x,10Y_x,11Y_x,12Y_x,13Y_x,14Y_x,15Y_x,16Y_x,17Y_x,18Y_x,19Y_x,20Y_x,30Y_x
2026-06-19,2.257179500262419,2.2948135320288694,2.36829849431091,2.508110378224144,2.638456168687323,2.759578710141486,2.8718420957291286,2.975688933792475,3.071608172569053,3.1601111666641524,3.2417141488735575,3.316925654641465,3.3862377527905703,3.450120180408585,3.5090166742085334,3.5633429451956853,3.613485866035611,3.659803537529577,3.702625977211211,3.742256233413604,3.7789717755332073,3.813026048292272,4.04899656700665
2026-06-22,2.2592331947258733,2.2967181268499357,2.3699313626706227,2.509292951025613,2.6392916783302174,2.7601495004087027,2.872213677188201,2.9759132665780936,3.0717263222499356,3.1601554515883596,3.241709875175429,3.316892517031475,3.3861909645637494,3.450071384168624,3.5089746751010518,3.5633143005585386,3.6134753589671957,3.6598145566717126,3.7026608208165936,3.74231635233621,3.779057966994561,3.8131386100162086,4.049341020886843
2026-06-23,2.261269255392284,2.2986175776986073,2.3715816697625764,2.510529725507273,2.6402088975682867,2.7608221871055365,2.8727015731523644,2.9762638073016623,3.071977044057397,3.160335938437662,3.2418433321138695,3.3169970409803526,3.3862805698279526,3.4501568292721996,3.509064128774625,3.5634138775725313,3.613589550709542,3.6599465766606754,3.7028128815152073,3.7424898865296377,3.779253804470739,3.813357118244195,4.049761213522505
2026-06-24,2.263287090830759,2.300510110468161,2.3732455080318475,2.5118133393295374,2.641197902356663,2.7615849893673388,2.873292699918948,2.97672660259844,3.0723458516080067,3.1606378674789806,3.2420996850442902,3.3172244667979367,3.386491995306981,3.450362210062742,3.509271054671911,3.5636280597507546,3.613815213471167,3.6601867719918215,3.7030697412767184,3.742764824302568,3.77954767679273,3.8136703531205964,4.050249082079549
2026-06-25,2.2652862179498148,2.3023941751330943,2.3749194026731955,2.513137200361752,2.6422497885113856,2.7624273265758075,2.873975300013854,2.9772891088068345,3.072819718690922,3.1610479641907503,3.2424655901650863,3.3175615166368004,3.3868121297096825,3.450674655124951,3.5095828731755905,3.563944594502637,3.61414044397627,3.6605236010382156,3.7034202248743098,3.743130355873379,3.779929134443152,3.8140682171479514,4.050797369903861
2026-06-26,2.2672662501316823,2.3042684224651016,2.376600267764008,2.5144954095387266,2.643356569961569,2.7633396988468597,2.874738810286623,2.9779400518668964,3.0733869342272877,3.161554291792466,3.242929046531639,3.31799624743336,3.3872291786680995,3.4510825849965454,3.5099882666403803,3.5643524578537398,3.6145545321011476,3.660946678725986,3.7038542766403317,3.74357675418666,3.780388774369355,3.8145416239000087,4.05139954659636
2026-06-29,2.2692268865669254,2.3061316830779717,2.3782853667605646,2.5158826913693213,2.6445110870850086,2.7643135793570535,2.875573743068137,2.978669301090719,3.0740369715888,3.1621461183726147,3.2434792627187337,3.3185179184048463,3.38773253403321,3.451575583962588,3.5104770541786254,3.564841732553849,3.6150478425110433,3.661446661810206,3.7043628494185126,3.7440952675242944,3.7809181361954725,3.815082397747681,4.052049735997139
2026-06-30,2.2711679026700295,2.3079829485704666,2.3799722769254994,2.51729433133979,2.6457069241294686,2.765341317337281,2.876471579098667,2.979467755432438,3.074760370854968,3.162813797170902,3.244106536682358,3.3191168716622834,3.388312656108013,3.4521442845393855,3.511040078839019,3.5654034982490534,3.6156117080114814,3.6620151455049044,3.704937804506305,3.744678022744431,3.7815096087058833,3.815683183508571,4.052742651296348
2026-07-01,2.27308914146845,2.3098213545590887,2.3816588572971145,2.5187261195294597,2.6469383348206277,2.7664160506783255,2.8774246710617803,2.980327241021264,3.0755486327290984,3.163548658713507,3.2448021475151965,3.3197844246420436,3.388960967538233,3.452780263392728,3.5116691059525444,3.5660297325244623,3.61623833345534,3.6626445703441117,3.7055718215002726,3.7453179380971013,3.7821563455841076,3.816337365038506,4.053473536566901
2026-07-02,2.2749905058682485,2.3116461654132534,2.383343219849681,2.5201742998238505,2.648200175346555,2.7675316271972306,2.8784261566748075,2.981240418843273,3.076394122959637,3.1643429136287873,3.245558257919233,3.320512773186846,3.3896697577074377,3.4534759475593786,3.512356731540999,3.5667132217422663,3.616920709161496,3.663328138261904,3.7062583170649317,3.7460086446691667,3.782852189491595,3.817038991880528,4.054238114083775
2026-07-03,2.276871951709033,2.3134567605239305,2.3850237035286233,2.5216355241711614,2.6494878439887337,2.7686825337075387,2.879469880390349,2.9822007015679124,3.077289986227563,3.165189565086855,3.2463678263352795,3.32129490422273,3.3904320965974604,3.4542245299526075,3.5130962997926827,3.5674474807061727,3.6176525329041684,3.6640597369795076,3.706991371742349,3.7467444156050225,3.7835916036614567,3.8177827131743562,4.055032536857528
2026-07-06,2.2787334815295823,2.3152526219535354,2.3866988508757125,2.52310681138285,2.6507972267418554,2.769863832121188,2.8805503228568248,2.983202178614452,3.0782300685633346,3.1660823299109326,3.2472245277740854,3.322124517082698,3.391241757177764,3.4550198932333536,3.5138818287083224,3.5682266802791096,3.6184281396251383,3.6648338718777325,3.7077656640071104,3.7475201023338607,3.784369610263754,3.818563718108084,4.055853345866225
2026-07-07,2.280575138973309,2.3170333233299325,2.3883673869876176,2.5245855100284333,2.6521246483296657,2.7710711018862475,2.8816625373703446,2.9842395486431457,3.079208847449514,3.167015567502565,3.2481226824881917,3.322995952621645,3.39209314548002,3.4558565412194455,3.5147079431089816,3.569045582167416,3.619242438104873,3.665645604614262,3.708576410849929,3.7483310771103993,3.785181734872506,3.8193776822649683,4.056697431521043
