,3M_x,6M_x,1Y_x,2Y_x,3Y_x,4Y_x,5Y_x,6Y_x,7Y_x,8Y_x,9Y_x,10Y_x,11Y_x,12Y_x,13Y_x,14Y_x,15Y_x,16Y_x,17Y_x,18Y_x,19Y_x,20Y_x,30Y_x
2026-06-19,2.1322955813472673,2.1599546663921685,2.2170552431309236,2.3363217449037825,2.459105644210773,2.582409972508859,2.704049683383338,2.822470142928552,2.936603264732349,3.045753772618343,3.149509542553883,3.247671160578461,3.340196790206828,3.4271592142462883,3.50871253777344,3.585066539845333,3.6564670646169475,3.723181166716951,3.7854859862236534,3.843660537700417,3.8979797654549846,3.948710351531222,4.308070189068698
2026-06-22,2.102452926971618,2.1297384313686556,2.186259895872835,2.304941193075319,2.427743030427352,2.5515116670064586,2.6739392169887055,2.7933752675844756,2.9086774895045764,3.019093463461322,3.12416746392309,3.223667166895829,3.3175262376197683,3.405799551906869,3.488628448000375,3.566213923959315,3.6387961126672956,3.706638702074827,3.7700172379396886,3.829210462858047,3.884494019073697,3.9361359817347643,4.302191841527548
2026-06-23,2.0737856737676106,2.100811598722111,2.156956818615518,2.275371080071627,2.398413519796442,2.5227946202227955,2.6461004074354855,2.766598024904556,2.8830814889858436,2.994749620124321,3.101109705206626,3.201901707570418,3.2970388590695117,3.386561289745914,3.4706000126993057,3.5493491151548575,3.623044436200502,3.6919473571849823,3.7563326085177495,3.8164792196824875,3.872663918255667,3.9251564271705774,4.297436811568571
2026-06-24,2.0462526198462188,2.073118833934626,2.129065264838544,2.247489813891808,2.370965624837634,2.496086066069518,2.6203459585572593,2.741941843692063,2.8596134805806384,2.9725183639998427,3.0801326544755026,3.1821732044085365,3.2785364075019,3.369250440498111,3.454438144958637,3.5342883437282366,3.609033827120439,3.678934598213273,3.7442652515334687,3.8053055882454903,3.8623337545982306,3.915621337588928,4.293697408595509
2026-06-25,2.0198145918901322,2.0466083706054654,2.1025108304110756,2.221186626493397,2.345261991081421,2.4712297560033765,2.5965067505176225,2.7192294211608004,2.8380916024974505,2.952216051209678,3.0610529904463806,3.1643002315429207,3.2618405060132196,3.3536925006576124,3.439972782069056,3.5208663556388675,3.5966040541847106,3.6674453134589013,3.733665182971387,3.795544654476394,3.853363578204649,3.9073955874334056,4.2908768803941095
2026-06-26,1.9944342924706597,2.021231695355632,2.0772248456795284,2.1963604923092594,2.321177965205054,2.448084273961139,2.5744299778732347,2.6983007437674846,2.8183518636607285,2.9336771872802125,3.0437055891541007,3.1481194346362087,3.2467905948230777,3.3397304362899165,3.427050917976838,3.508934496859753,3.5856110025358903,3.6573400098350355,3.7243975352713017,3.7870661215251986,3.845627565475718,3.9003576987112636,4.2888882792461445
2026-06-29,1.9700761618849028,1.9969432642153127,2.053143829623855,2.1729191583119047,2.2986003113400564,2.4265215259488015,2.5539774808072346,2.6790113135047875,2.8002463065387895,2.916752558462629,3.027941648153316,3.1334836663521695,3.233242091660726,3.3272228782450193,3.415534840309415,3.498358996920258,3.575925006700069,3.6484931969049756,3.7163409929519764,3.7797527967488462,3.8390125566613222,3.894398427899577,4.28765344599168
2026-06-30,1.946706253024723,1.9737002472418754,2.030208999649547,2.150778274046956,2.2774260601642835,2.406425386143638,2.535024249465517,2.6612305583088935,2.7836413607656145,2.9013075571874687,3.0136270056460996,3.1202603156220556,3.2210647433883524,3.316042505011943,3.405300550714869,3.48901943094171,3.5674293569480446,3.640791938983411,3.709386390942944,3.773499236070152,3.833416745530635,3.8894194998407916,4.287102099782695
2026-07-01,1.9242921179443273,1.9514622984542536,2.0083658312504737,2.129860611259055,2.257561476987931,2.3876904832496963,2.5174570834101817,2.644840407449733,2.768416367729179,2.887220681478035,3.000640634276922,3.10832981056441,3.210141148985104,3.3060745937117613,3.3962363494619847,3.480807341613375,3.560018960999765,3.634134557833923,3.703435458712253,3.768210529351762,3.828748505349402,3.8853324733492043,4.287171022542437
2026-07-02,1.902802704932289,1.9301913484725566,1.9875636623763464,2.1100953638105264,2.2389211364739943,2.3702211125345403,2.5011733900706217,2.629734014757119,2.7544622583561713,2.874382190240361,2.9888732914382623,3.0975842770063635,3.2003654360777136,3.297215721749609,3.3882415672242163,3.473625004481071,3.5535991449220425,3.6284294703061177,3.6983996950325575,3.763801212124478,3.824925336993109,3.8820577248349752,4.287803328284447
2026-07-03,1.8822082650183078,1.909851417523238,1.9677553378751855,2.09141751955853,2.221427092916544,2.353930260487418,2.486080107745671,2.6158146143154855,2.741680368167046,2.8626928982239397,2.978226309814286,3.087926336427719,3.1916420750522225,3.2893726034600173,3.381225428742952,3.467384321646119,3.548084578745421,3.6235941468804618,3.694199359800758,3.7601942905306185,3.821872926495264,3.8795235376731605,4.288947808466854
2026-07-06,1.8624802669565095,1.8904084467134405,1.9488968898620973,2.07376729672183,2.20500813615018,2.3387387303948484,2.4720927402099084,2.6029944948551424,2.7299813753285695,2.8520630961296285,2.968610513579124,3.079268028828495,3.183884816438445,3.2824610477059717,3.3751060346540322,3.4620058305191335,3.54339831382842,3.6195541785453376,3.690762570736479,3.7573203677068086,3.819524300648325,3.8776652863190377,4.290558345473407
2026-07-07,1.8435913198268992,1.8718301456961124,1.9309472502966891,2.0570896380439896,2.1895991241947965,2.3245743583448752,2.459134491321486,2.591194080497898,2.719284348912889,2.8424115828490337,2.959945247180407,3.0715298475259365,3.177015738744391,3.2764050238497053,3.369809449185488,3.4574178156597344,3.539470920344108,3.6162424407363685,3.6880244940485927,3.755116861053172,3.817819070456492,3.8764247053128633,4.2925933871337145
2026-07-08,1.82551510248596,1.8540858550427732,1.9138679924377038,2.041333756754992,2.17514038466374,2.3113713102605646,2.4471354892338333,2.58034110679662,2.7095158959004992,2.8336647981713385,2.9521575049959194,3.0646398742363807,3.170964395249407,3.2711358248198046,3.3652688827109167,3.453555512976141,3.5362397144711313,3.61359834423842,3.6859266192920184,3.753527300931692,3.8167027532988227,3.8757492343407574,4.295015475931084
2026-07-09,1.8082262991774394,1.8371464218158031,1.8976230981896811,2.026452728956487,2.161577177791596,2.2990694515397627,2.4360320908937023,2.5703698821572925,2.700609396655195,2.8257560455051682,2.945181151367835,3.0585330040069705,3.1656670494584755,3.266591317170439,3.361423959287154,3.4503603966727687,3.533648065953462,3.6115671639997076,3.6844161096526444,3.7525007023188706,3.8161261656107115,3.875591431435903,4.29779082720611
2026-07-10,1.791700540686007,1.8209840869888798,1.8821787486666075,2.0124031276142884,2.1488592146801095,2.28761378175326,2.425766258476058,2.561220625761834,2.692504319666295,2.8186247952490278,2.938956221609439,3.053150250646312,3.161065989989945,3.2627152690782752,3.358220060330436,3.447779540332542,3.5316447776630393,3.610099437747732,3.6834452198085437,3.751991001818265,3.816044878742781,3.8759084472266347,4.3008889512554065
2026-07-13,1.77591435048066,1.8055723835046649,1.867503135575616,1.9991446938423512,2.136940225026019,2.2769539276379502,2.4162850002741125,2.5528388740330574,2.685145607310058,2.812216060417284,2.9334282955566877,3.0484381242750196,3.1571089166279775,3.259456748163632,3.355607736504584,3.445765044415779,3.5301835296688826,3.609150427139629,3.68297077433164,3.751956553227728,3.816418731419191,3.8766615538751648,4.304282314754986
2026-07-14,1.7608450953521795,1.7908860438846446,1.8535662912728361,1.9866400416110086,2.1257775691908423,2.2670436883245957,2.407539869340432,2.545174948510362,2.678483125239537,2.806479837001074,2.928547936112937,3.044348073488005,3.1537483901304717,3.2567695818657665,3.3535421807186245,3.444273523259755,3.5292223810954737,3.6086796349349113,3.6829537003253083,3.7523596755635156,3.8172113929010516,3.877815723011362,4.307946037412783
2026-07-15,1.7464709401004,1.7769009164187801,1.8403399355668066,1.9748543924143032,2.1153318900070235,2.2578406273698794,2.3994865138721204,2.5381834787462547,2.672471168780585,2.8013706023254743,2.9242701860203852,3.0408359854010625,3.150941339153613,3.2546118738581074,3.351982755869751,3.44326564538212,3.528723323751605,3.608650372355644,3.6833586086488914,3.753166248077438,3.818389971573508,3.8793392475582005,4.31185762018066
2026-07-16,1.7327708058730928,1.7635938890635938,1.8277973375448515,1.9637553367915155,2.105566800193761,2.249305706727156,2.3920842739577357,2.5318229744982768,2.6670680204003903,2.7968468653650436,2.9205541167954427,3.0378617375539005,3.148648618344598,3.252945570666683,3.350892571629399,3.442705721535808,3.528651882136846,3.6090293714059385,3.684153418667616,3.75434534737147,3.819924664224293,3.8812034028762055,4.315996701737832
2026-07-17,1.7197243317995294,1.7509428202678108,1.8159131908771062,1.9533126199208775,2.0964486016850308,2.2414029582963586,2.385295819863461,2.5260554420865016,2.662235552932152,2.7928707636079513,2.9173624243959146,3.0353887962688435,3.146834612272888,3.251736073262184,3.350238105163353,3.442561335540652,3.5289767549937507,3.6097864374665,3.685309021992869,3.755868922223457,3.8217884417738244,3.8833821431299116,4.320344840299661
2026-07-20,1.707311839598672,1.7389264760256882,1.8046635012134622,1.9434979487927653,2.0879460335569204,2.234099189147067,2.3790868275377455,2.5208460403204396,2.6579388737926304,2.7894077016217413,2.914661066753078,3.0333838566263265,3.145466880424865,3.2509518889401985,3.3499888612084088,3.4428030134345398,3.529669494076693,3.6108941379673203,3.6867989811497157,3.7577115021939895,3.8239567676580615,3.8858518292056123,4.324885318112343
