Date,beta0,beta1,beta2
2004-09-06,6.616441834730187,-4.140742820247768,-3.970523330339886
2004-09-07,6.606642950276042,-4.08714954636568,-3.902847589797996
2004-09-08,6.590728844531738,-4.062531823673509,-3.89999769988385
2004-09-09,6.578055988309812,-4.038300292125849,-3.89418410286944
2004-09-10,6.564322028950137,-4.013415040325311,-3.9037869795657416
2004-09-13,6.553565186399546,-3.987501123247176,-3.906984216984185
2004-09-14,6.544228404003675,-3.96982229671221,-3.928957209737246
2004-09-15,6.540680929031324,-3.9542753921102483,-3.9386142489578506
2004-09-16,6.5362260074184295,-3.939640551131636,-3.910132201207605
2004-09-17,6.53151991929995,-3.9274672357176237,-3.9166460575296607
2004-09-20,6.526688540954071,-3.9155946038849008,-3.9287703002822987
2004-09-21,6.524017733211912,-3.90580252786686,-3.93500466353026
2004-09-22,6.522339276595654,-3.8960782381746673,-3.971196071430927
2004-09-23,6.519797581675568,-3.886064308686266,-4.0118139368958206
2004-09-24,6.5194341554145065,-3.872728082428602,-4.031098095286013
2004-09-27,6.521288295424133,-3.8625716955310105,-4.000176103731307
2004-09-28,6.51922123697819,-3.853008864900826,-4.021207494561699
2004-09-29,6.510288421983098,-3.8421719661235683,-4.036752488296975
2004-09-30,6.5035471380348495,-3.832161380708796,-4.035243163529142
2004-10-01,6.497307922042573,-3.8225605190644036,-4.042490593625661
2004-10-04,6.490654173906243,-3.8130180401496787,-4.063671573193583
2004-10-05,6.488252070629235,-3.8055161363730106,-4.061028631291874
2004-10-06,6.48376456401396,-3.802485543096278,-4.0567273291251045
2004-10-07,6.479800579411667,-3.799348099617614,-4.04867436560029
2004-10-08,6.4757890696051055,-3.798307687540586,-4.021464327656576
2004-10-11,6.47231374381388,-3.8003821928136343,-3.9835196036211213
2004-10-12,6.4688146896228655,-3.8007795524258023,-3.996195450918756
2004-10-13,6.470020774578635,-3.800970542952885,-3.9972014439947428
2004-10-14,6.467875573043143,-3.8002426220785477,-3.9600978342984496
2004-10-15,6.464024366888579,-3.7988993141502654,-3.935091957939555
2004-10-18,6.4616220326157245,-3.797046989262058,-3.947377168488657
2004-10-19,6.4601119980475685,-3.7952669752321038,-3.949791419665895
2004-10-20,6.45761172128892,-3.798458328606203,-3.9372166563572155
2004-10-21,6.455666876443108,-3.8011986175628993,-3.925192855525723
2004-10-22,6.4550297766800115,-3.8008843048070373,-3.912165012465369
2004-10-25,6.454794514156592,-3.8007047439281822,-3.9140467385673
2004-10-26,6.454296349014008,-3.8009001615512625,-3.9179452713357126
2004-10-27,6.453615041888055,-3.8011230383612618,-3.901459887921958
2004-10-28,6.452447435978562,-3.804039342640818,-3.8866985813981962
2004-10-29,6.451308052946853,-3.806759075459967,-3.8740792867113405
2004-11-01,6.44716021298508,-3.804692970761477,-3.9088057406465135
2004-11-02,6.444707376761597,-3.8052066495585097,-3.9345418683410696
2004-11-03,6.446867153299065,-3.8070246124374414,-3.896983872965115
2004-11-04,6.449925228537009,-3.808911623851442,-3.9444853059701606
2004-11-05,6.4521264662393065,-3.8109893149711924,-3.889044957973427
2004-11-08,6.45126718732853,-3.8107147428385595,-3.8289386375741827
2004-11-09,6.449919072138528,-3.81182330246449,-3.8212670057624036
2004-11-10,6.4489050214237995,-3.8129206821438686,-3.8170618561374345
2004-11-11,6.449665559743492,-3.8139014091435572,-3.8996283350774643
2004-11-12,6.449453758231418,-3.812768318405922,-3.9661965443564284
2004-11-16,6.4508295249651475,-3.8113315633136224,-3.99874528371257
2004-11-17,6.455982267385819,-3.8116382229318124,-3.9874852390418503
2004-11-19,6.458441590065826,-3.8122780065781017,-4.001448088660006
2004-11-22,6.460601792964352,-3.812856859623201,-4.01200022694382
2004-11-23,6.462482658037476,-3.8135447901240394,-4.021737228734265
2004-11-24,6.4634664013112175,-3.8137524757740042,-4.038759610019794
2004-11-25,6.466127202711625,-3.8031647623440055,-4.025155558493856
2004-11-26,6.467926511145375,-3.796502090153482,-4.086475938945378
2004-11-29,6.470716175891498,-3.7903371138245276,-4.145527228263915
2004-11-30,6.472833120958862,-3.784077783310345,-4.200301949181274
2004-12-01,6.479625403537187,-3.7795370650237166,-4.186218745511083
2004-12-02,6.481357256577652,-3.7712964789219194,-4.029387878311105
2004-12-03,6.47715592222888,-3.764262588709518,-4.005577231513185
2004-12-06,6.47261538998434,-3.7550034834800843,-4.015529886514421
2004-12-07,6.471296188548368,-3.7453095827672347,-3.923500615759243
2004-12-08,6.465615274984271,-3.73651313735032,-3.8957338566972317
2004-12-09,6.460989537217796,-3.731724142203493,-3.9106301162799912
2004-12-10,6.457597813965747,-3.727240030879971,-3.906227988415507
2004-12-13,6.456689094310668,-3.71893777210935,-3.8816056182493632
2004-12-14,6.454552102289262,-3.711623080043494,-3.950666605341725
2004-12-15,6.4551091493799735,-3.705650151830837,-3.9191608496089705
2004-12-16,6.453599091824182,-3.700475062302194,-3.904648126348761
2004-12-17,6.452162988250959,-3.695396456450905,-3.934565413787023
2004-12-20,6.451064156333399,-3.6904676195915007,-3.882733263151035
2004-12-21,6.448712559184481,-3.687994921007551,-3.8847612828439035
2004-12-22,6.448441222850095,-3.6863840755466173,-3.931935907992872
2004-12-23,6.448299435783236,-3.68548349796622,-3.9593127012732725
2004-12-24,6.446417753076541,-3.687937847412176,-3.9108148836588814
2004-12-27,6.444547489774829,-3.684273988240105,-3.843262003539781
2004-12-28,6.447230420230153,-3.6697979961366203,-3.896351773082141
2004-12-29,6.447586158746497,-3.6611390702280384,-3.924197194858637
2004-12-30,6.449381977288469,-3.6630909520521326,-3.9510300998587815
2004-12-31,6.44699145099435,-3.6598388451993378,-3.910648197453734
2005-01-03,6.444104149599894,-3.6571657909208826,-3.8888126577404716
2005-01-04,6.442498132052341,-3.6545699440534625,-3.9338200186249677
2005-01-05,6.441660705191116,-3.6521742998715094,-3.889565049094696
2005-01-06,6.4393949484082595,-3.6541874208399916,-3.898202628402551
2005-01-07,6.441440337332057,-3.655468125041889,-3.8978093043446638
2005-01-10,6.453582122319933,-3.6604110584395055,-3.9059276572705968
2005-01-12,6.4489345025656135,-3.6602143411001635,-3.9087596237661204
2005-01-13,6.447624683103731,-3.6593811298787826,-3.8870089328927255
2005-01-14,6.445647499942231,-3.6596473329238335,-3.871975551488806
2005-01-17,6.44386300123131,-3.659886194617311,-3.8612219082384125
2005-01-18,6.441933386770386,-3.659957811347045,-3.8526949209807526
2005-01-19,6.4402218881382565,-3.6585613165582225,-3.836175419700682
2005-01-20,6.440042014223863,-3.658108531404696,-3.9107675075573707
2005-01-24,6.441937293130999,-3.662319135641303,-3.9798443825763687
2005-01-25,6.443256900876953,-3.6645394012500967,-3.908475195973566
2005-01-26,6.441520759292362,-3.665875081319109,-3.870621234499663
2005-01-27,6.436506641254179,-3.672837008384025,-3.876773654416673
2005-01-28,6.435305074106565,-3.6746706691208817,-3.9107370639556134
2005-01-31,6.434155621117082,-3.6777022011476554,-3.8911338329793512
2005-02-01,6.432173170529906,-3.680787041738849,-3.870563710523396
2005-02-02,6.430682516345009,-3.6842710540284593,-3.864933255822579
2005-02-03,6.43093070097837,-3.6871934848069503,-3.892873905405303
2005-02-04,6.431169570926094,-3.6887076904663325,-3.8773241258374997
2005-02-07,6.425784651084917,-3.6872136905394517,-3.9562551886785795
2005-02-08,6.424916955529042,-3.6858663794289925,-3.9775885707176855
2005-02-09,6.4233394907838095,-3.683812882565369,-3.9947547845633684
2005-02-11,6.426570166372003,-3.684223021925245,-3.9230646080861726
2005-02-14,6.431332259937366,-3.6792974752240113,-3.924604548081979
2005-02-15,6.432304905647885,-3.6749036799850536,-3.9140297344874937
2005-02-16,6.430336041168229,-3.6700059908021068,-3.9348725091272994
2005-02-17,6.430439465688232,-3.66585322097253,-3.9757959817476287
2005-02-18,6.430655579476881,-3.6620815149606507,-3.9620449305336876
2005-02-21,6.428166528041051,-3.65398394011366,-3.92581558583095
2005-02-22,6.427586989998442,-3.645874833850979,-3.934584400565839
2005-02-23,6.42589563020208,-3.638471168297594,-3.9433886633396384
2005-02-24,6.433196705285519,-3.6347352947866876,-3.9622459008102178
2005-02-25,6.440250783540845,-3.630408982155519,-4.005252122016171
2005-02-28,6.445432215566362,-3.6259770239178053,-4.020818177506293
2005-03-01,6.449273319388054,-3.6229788980057487,-4.073994483504768
2005-03-02,6.452263176917082,-3.619788167148284,-4.11145061907046
2005-03-03,6.452991846222476,-3.6162096345140085,-4.133987907110823
