month,cutoff,rmse_beta0,rmse_beta1,rmse_beta2,mae_beta0,mae_beta1,mae_beta2
2022-02,2022-01-31,0.034632263362843946,0.06310974523210552,0.18767221692899316,0.028322708826279245,0.05963840724507814,0.16100198747991898
2022-03,2022-02-28,0.0745274582165908,0.08784065402021204,0.2728705894725853,0.06937651222531586,0.0835433853197976,0.2521715116692504
2022-04,2022-03-31,0.05141518699713864,0.08468211936148397,0.32478504160922045,0.04900125869406347,0.08214055806227072,0.2946040081138404
2022-05,2022-04-29,0.08754381429126928,0.11589465348073814,0.48552594434829655,0.07528079871361917,0.09791738496225463,0.4465152284180297
2022-06,2022-05-31,0.07044249641068993,0.11670640297450872,0.6180841641176049,0.06320195301804894,0.11289354404193847,0.5722869126593014
2022-07,2022-06-24,0.041548773586708394,0.15118710543823877,0.4173671118071475,0.03635717254562473,0.13356746885180906,0.3787444744501609
2022-08,2022-07-29,0.08516635472805334,0.33194191372220194,0.18212354140857395,0.07564915426290857,0.30729218503955735,0.14197965471566196
2022-09,2022-08-31,0.15687765071630075,0.2878693699358819,1.108737897662861,0.13154369089881854,0.28386274961500696,0.8925925474604544
2022-10,2022-09-30,0.40976985202964306,0.1620935661707807,0.3267556217520493,0.4091571906525828,0.1290315888419531,0.2715060285211242
2022-11,2022-10-31,0.14118040238731902,0.4928204241050008,0.5439659468387888,0.12553191007824213,0.45775439772010884,0.4271977054760497
2022-12,2022-11-30,0.18221417111557894,0.6250492364884284,0.39117247566093544,0.1409831969083076,0.5996722366754454,0.37409929216003923
2023-01,2022-12-30,1.0696089259868238,0.5552740211002052,0.37051488458920817,0.9870756253621508,0.5497270904902606,0.3023412110120385
2023-02,2023-01-31,0.11520235783906468,0.24969592341295474,0.9747734232013245,0.07738451753620296,0.22998846304116186,0.8898488516869709
2023-03,2023-02-28,0.45030912013341307,0.4543484191740592,0.2800586418007472,0.4115221744995854,0.43355687674218707,0.24377585838208304
2023-04,2023-03-31,0.17334817577684136,0.3783325377275205,0.28103606001633846,0.16475842960216233,0.3638776495809461,0.26725860597990453
2023-05,2023-04-28,0.11004149810722647,0.362930006441988,0.18805743452727228,0.10668031874598181,0.3533454187527915,0.16037242828568418
2023-06,2023-05-31,0.1297310011725538,0.12855752387867028,0.404945358212881,0.0897964542092138,0.11460415656223176,0.2967102472623505
