Date,beta0,beta1,beta2
2004-09-06,6.616441834730187,-4.140742820247768,-3.970523330339886
2004-09-07,6.624450509235019,-4.12373167779082,-4.010577764721753
2004-09-08,6.625762715196601,-4.130215177866272,-4.067989782887337
2004-09-09,6.628460619583137,-4.133152967555864,-4.100140467064944
2004-09-10,6.628817487553693,-4.134122240748597,-4.143948432931628
2004-09-13,6.63094910881817,-4.132605576461397,-4.176781799835459
2004-09-14,6.632635492135115,-4.136039242363516,-4.217387762269551
2004-09-15,6.638851175797947,-4.140001921992815,-4.243773612028975
2004-09-16,6.642924011355605,-4.142915412657369,-4.228291234779997
2004-09-17,6.645548064609369,-4.146240359521215,-4.244160488698483
2004-09-20,6.647526310904104,-4.149353207802372,-4.268056116044378
2004-09-21,6.65083088910653,-4.152821163827172,-4.282380606864436
2004-09-22,6.654361492054908,-4.154848943486211,-4.3243514934194325
2004-09-23,6.656328573818929,-4.155223120015655,-4.369597508588846
2004-09-24,6.660441121526328,-4.152477907874334,-4.398036174360313
2004-09-27,6.666001337746062,-4.1508631468494155,-4.369592319564332
2004-09-28,6.667331889350197,-4.149368167133528,-4.3950079263403135
2004-09-29,6.661513662993418,-4.145944768162208,-4.414503575868254
2004-09-30,6.657454709046815,-4.142298348934128,-4.4147655641007155
2004-10-01,6.653705859121038,-4.138726256027427,-4.424520681403312
2004-10-04,6.64978275216438,-4.135817504436748,-4.452076334969414
2004-10-05,6.649392633203984,-4.132965171894703,-4.448884750388703
2004-10-06,6.646757406525839,-4.134452159582533,-4.446899726079821
2004-10-07,6.644397226940092,-4.135203562188651,-4.440317516221617
2004-10-08,6.641910249141626,-4.137874091924521,-4.415063450835864
2004-10-11,6.640254601910157,-4.144388899862786,-4.383036759280844
2004-10-12,6.63871144333026,-4.149285145040123,-4.401160152866454
2004-10-13,6.641900635855598,-4.153905356930154,-4.4077391514793
2004-10-14,6.64138919921134,-4.156617379165207,-4.372582900704463
2004-10-15,6.639120931950352,-4.158723096821651,-4.35093556407128
2004-10-18,6.638397050548823,-4.160553948370095,-4.367917161332055
2004-10-19,6.638622201384705,-4.162502674231404,-4.37490239948501
2004-10-20,6.637657906521134,-4.1688728732662526,-4.364782110400398
2004-10-21,6.637385149689433,-4.175229091297591,-4.358125510066407
2004-10-22,6.63814586329613,-4.177738463615865,-4.347387145679643
2004-10-25,6.639062685776427,-4.179872953004312,-4.350584264253555
2004-10-26,6.639941761136667,-4.183068623195577,-4.359523127401175
2004-10-27,6.640639668429035,-4.186150533713848,-4.347047110560832
2004-10-28,6.640597764473336,-4.19126268863218,-4.333906531487796
2004-10-29,6.6397599226763955,-4.194244524922048,-4.315962398359031
2004-11-01,6.636400724917633,-4.194135949531302,-4.355099460773266
2004-11-02,6.634804339587235,-4.196523373704895,-4.3832858162093675
2004-11-03,6.637419768768793,-4.1991760646412155,-4.344297994738586
