Date,rate_unit,3M_x,6M_x,1Y_x,2Y_x,3Y_x,4Y_x,5Y_x,6Y_x,7Y_x,8Y_x,9Y_x,10Y_x,11Y_x,12Y_x,13Y_x,14Y_x,15Y_x,16Y_x,17Y_x,18Y_x,19Y_x,20Y_x,30Y_x
2004-09-06,decimal,0.024264849784541513,0.0253154431245152,0.02733020300440136,0.031036821432131833,0.03435292039606916,0.03732174216674657,0.039981634389698414,0.04236661061140776,0.04450684616775055,0.046429116921996305,0.048157187469547044,0.04971215465800337,0.05111275159202629,0.052375616692383935,0.05351553184831773,0.05454563323379448,0.05547759794413968,0.05632180924362311,0.057087502891181315,0.05778289672565784,0.05841530543934476,0.05899124224535137,0.06265766904514893
2004-09-07,decimal,0.02431762738713965,0.025363477536608645,0.027369230535738764,0.031059612939190746,0.03436160144451123,0.03731817576662416,0.039967452748627466,0.042343243085980024,0.044475543865834855,0.04639097435486782,0.048113161605432504,0.04966308168688533,0.05105936167475013,0.05231854693467056,0.0534553377116889,0.054482798570210794,0.055412543818932694,0.056254901691719636,0.057019059734356926,0.05771319356334424,0.05834458091210835,0.058919702658344994,0.06258456849144604
2004-09-08,decimal,0.023892431528883592,0.024953548311866483,0.026988272598261764,0.03073080890176139,0.03407803421643827,0.03707378738271563,0.039756940151810034,0.04216196641174233,0.044319445738008736,0.0462565088792917,0.04799723190409619,0.04956298495271736,0.05097274084846426,0.05224334821196694,0.053389773183309105,0.05442531338037442,0.05536178730085943,0.0562097020034316,0.05697840157478975,0.05767619859887924,0.058310490587771775,0.058887863106808803,0.06255462386447762
2004-09-09,decimal,0.023682988577854,0.024752842603619308,0.026804120951955345,0.030576357578367255,0.033949216991620075,0.03696704968721739,0.03966917656312711,0.04209046567772254,0.04426184243166283,0.04621074089131309,0.047961503074085275,0.04953573222338334,0.050952605400465596,0.05222915010172268,0.05338048906309963,0.054420056930263395,0.05535979204621154,0.05621030623078087,0.05698103509315581,0.05768037112388309,0.05831578155255474,0.0588939127272351,0.06255731127439633
2004-09-10,decimal,0.0235758992599216,0.02464483477096933,0.02669454093124197,0.030464593548859806,0.03383637861947263,0.03685406613204933,0.03955682122146451,0.04197937774222115,0.04415254566349898,0.046103659954387734,0.04785697773685914,0.04943402969653609,0.050853931045521175,0.0521336567167554,0.05328828492614493,0.05433121275867619,0.05527434701056787,0.056128273144674334,0.05690240488510741,0.05760511668430662,0.05824386103707343,0.05882527238743161,0.06251724166916652
2004-09-13,decimal,0.023588207147760033,0.024651863705390267,0.026691762641983894,0.030444956791160115,0.03380312988809071,0.03680999609421022,0.03950432352012557,0.04192050047912916,0.044089036456650764,0.04603700535634994,0.047788437705232244,0.049364667724111175,0.05078464048400894,0.05206518376316042,0.053221248683854326,0.05426612273519574,0.055211618369748035,0.056068239992498034,0.05684533183402444,0.05755120891113194,0.05819327302312574,0.05877811550643753,0.06250478093836404
2004-09-14,decimal,0.02339989509489218,0.02447065143637966,0.026524068449675243,0.030301767602177464,0.03368141117753413,0.03670707901627245,0.039417861297181306,0.041848429965570685,0.04402954426519709,0.04598849800687273,0.04774951531992669,0.049334100849099095,0.05076134966708178,0.0520482215611347,0.05320978381161104,0.05425942610251835,0.05520905078209723,0.05606924131834063,0.0568494114646852,0.057557937359731505,0.05820227452732861,0.05878906151574989,0.06252414788130184
2004-09-15,decimal,0.023325852727946524,0.02439835448722897,0.02645544809984599,0.030241143830193395,0.03362947194150186,0.03666433581419915,0.039384676643174514,0.04182504110939422,0.04401608364092477,0.045985010835398986,0.04775597473663382,0.04935042088112595,0.0507873963435828,0.05208382240395251,0.05325473592228618,0.05431350303398088,0.05527200835924405,0.05614082255057848,0.056929350675040374,0.057645963638968095,0.05829811460739108,0.05889244214450178,0.06268891090013061
2004-09-16,decimal,0.023328038089971442,0.02440501420814585,0.02647040164142842,0.030270282350603233,0.03366996814858126,0.036713762813324446,0.039440956082351646,0.041886397794020806,0.04408100582640826,0.04605221550164611,0.04782437723273717,0.0494191084027476,0.05085560477078368,0.05215091608460873,0.053320190036710936,0.05437688822076027,0.05533297732132811,0.0561990983949869,0.05698471676971151,0.05769825479679848,0.058347209430819634,0.05893825638447341,0.06270218967139439
2004-09-17,decimal,0.02326793388266478,0.02434668478381463,0.026415490002290747,0.03022171174508381,0.033627136587273364,0.03667613063499569,0.03940803922293095,0.04185776180006775,0.04405626052948282,0.04603101027947469,0.04780639679146621,0.04940406902201323,0.05084325095991544,0.05214101760412331,0.053312539244425756,0.054371297706441155,0.055329277797849186,0.05619713681758226,0.0569843546580914,0.05769936673773369,0.05834968174130716,0.05894198591782317,0.06271450042242269
