Date,rate_unit,beta0,beta1,beta2
2004-09-06,decimal,0.06865700148580148,-0.045472706903504176,0.024660614492029366
2004-09-07,decimal,0.06860467727272636,-0.045362245370768516,0.024452346785373183
2004-09-08,decimal,0.06849571596929951,-0.045694068310859,0.025150585590602806
2004-09-09,decimal,0.06843873522273478,-0.045855482247342906,0.025579532721432884
2004-09-10,decimal,0.0684956742946809,-0.04601845144544468,0.025348807568467826
2004-09-13,decimal,0.06862346734334607,-0.04612812402909017,0.024876320403491657
2004-09-14,decimal,0.06863103947085464,-0.04633152962844762,0.025149893139788736
2004-09-15,decimal,0.06898423697548617,-0.046760480107752404,0.02482609360141414
2004-09-16,decimal,0.06886777974103844,-0.04664654930668258,0.02524858678510942
2004-09-17,decimal,0.06889792553222399,-0.04673862312373208,0.025274506949319136
2004-09-20,decimal,0.06902566451076407,-0.04689727404370944,0.024907916881521785
2004-09-21,decimal,0.06902212542584489,-0.0469441989427604,0.025120597718360622
2004-09-22,decimal,0.06932489491861332,-0.047281911046409685,0.024517745187512128
2004-09-23,decimal,0.06975575379694506,-0.047714830333962656,0.023479485680821328
2004-09-24,decimal,0.06997261564324958,-0.04781172261583117,0.022820909414474868
2004-09-27,decimal,0.06946870982300145,-0.04721323716527517,0.02401830416893371
2004-09-28,decimal,0.0696959040319491,-0.04742694936470363,0.02337066074950428
2004-09-29,decimal,0.06921547632072397,-0.046969745253916215,0.023746020640398487
2004-09-30,decimal,0.06894330227201029,-0.04669583681149641,0.024048254739744236
2004-10-01,decimal,0.06897675528191474,-0.04671859574899751,0.02376430523151222
2004-10-04,decimal,0.06930553997501294,-0.04701843199033827,0.022670361577434055
2004-10-05,decimal,0.06929612467983651,-0.047022922076022,0.022922833510808323
2004-10-06,decimal,0.06902349453731721,-0.046887583086143235,0.02365388100919468
2004-10-07,decimal,0.06887635303365419,-0.04680736052251952,0.024019579578531666
2004-10-08,decimal,0.06854472581831604,-0.04655302270082188,0.024840429589074235
2004-10-11,decimal,0.06782641982385332,-0.04599899666335101,0.026622398874240023
2004-10-12,decimal,0.06802669221877825,-0.046261177369225366,0.02620040704446312
2004-10-13,decimal,0.06828272239632942,-0.04651991773624404,0.02591163794145472
2004-10-14,decimal,0.06794587524913348,-0.046145962958384405,0.026535654155399047
2004-10-15,decimal,0.06778472682479128,-0.04594186859876673,0.02668668041317894
2004-10-18,decimal,0.06797082925279037,-0.04609712366406652,0.026063418118307164
2004-10-19,decimal,0.06810292536736129,-0.046214216006786484,0.025819834434894055
2004-10-20,decimal,0.06789218534238001,-0.046133371483282316,0.02648423499008036
2004-10-21,decimal,0.06775472445540766,-0.04606935079800374,0.02689396112522318
2004-10-22,decimal,0.06771401500115772,-0.04598972817192739,0.026951744775699015
2004-10-25,decimal,0.06767155327123568,-0.04593165764328061,0.026940999680081797
2004-10-26,decimal,0.06778442858547878,-0.046055544966399,0.026760462331900055
2004-10-27,decimal,0.06768546438541395,-0.04594711049001575,0.026995042579580363
2004-10-28,decimal,0.06748889450910248,-0.04582119546742735,0.027541868247866957
2004-10-29,decimal,0.06734151706788166,-0.04571994562785456,0.027925271896766354
2004-11-01,decimal,0.06803564987599986,-0.04631630313759303,0.02582709339860125
2004-11-02,decimal,0.06841374428682505,-0.04674068360710478,0.025119684358204664
2004-11-03,decimal,0.06806064353703194,-0.04640859064847077,0.026269182481937634
2004-11-04,decimal,0.06837360689153667,-0.04680827970862701,0.025786142069013696
2004-11-05,decimal,0.0678009840630588,-0.04622001950971395,0.02719994858375546
2004-11-08,decimal,0.06715530277416215,-0.045434184851062,0.028319850618660762
2004-11-09,decimal,0.0670114911917282,-0.04532732968926456,0.028623503326040696
2004-11-10,decimal,0.06693223280507185,-0.04527342561497004,0.028792122698015087
2004-11-11,decimal,0.0676210408871705,-0.04605835840372426,0.027304337789600657
2004-11-12,decimal,0.06838032077774622,-0.04683057475908807,0.02550083505029012
2004-11-16,decimal,0.06902177665193177,-0.04743003915804874,0.024048887240776837
2004-11-17,decimal,0.06883773954816014,-0.047259152393301175,0.024876952151793575
2004-11-19,decimal,0.06870690627963401,-0.04717465824499873,0.025164962542323557
2004-11-22,decimal,0.06860623848921119,-0.04709715984309194,0.025373333844330728
2004-11-23,decimal,0.06862056409381066,-0.04713029488396359,0.025423182420807718
2004-11-24,decimal,0.0687369141730165,-0.04725248123057837,0.025126747506491378
2004-11-25,decimal,0.06913956519987911,-0.04729591908243656,0.023821378598132905
2004-11-26,decimal,0.06980881870520021,-0.04788837107572186,0.022192452558979604
2004-11-29,decimal,0.07059442113708424,-0.04860917544704514,0.020369490998461894
2004-11-30,decimal,0.07122224982989844,-0.04919337406272273,0.018992596849486017
2004-12-01,decimal,0.0711692737358816,-0.04907451029611448,0.019467653371761907
2004-12-02,decimal,0.06982431235984027,-0.047428179235432744,0.022250605849873213
2004-12-03,decimal,0.06947145068690766,-0.04697086988058579,0.022558956769837733
2004-12-06,decimal,0.0697812294543783,-0.047079860627924686,0.021204188379933667
2004-12-07,decimal,0.06917066805788569,-0.046244601732887025,0.022560394689057923
2004-12-08,decimal,0.06895176594992959,-0.045939169019044816,0.022743805408233078
2004-12-09,decimal,0.06890109344674752,-0.04596847904639315,0.022824931766930404
2004-12-10,decimal,0.06881228828684877,-0.04591257916580913,0.023034704587649536
2004-12-13,decimal,0.06863503238956478,-0.04556342101519014,0.023205490314645735
2004-12-14,decimal,0.0695171736501266,-0.046451645578398336,0.021171179475631602
2004-12-15,decimal,0.06934022302147305,-0.046221626157863925,0.021715550670059484
2004-12-16,decimal,0.06922371933587736,-0.04608049565579735,0.021937921700504757
2004-12-17,decimal,0.06949907029810748,-0.046361920105457435,0.021259102996359303
2004-12-20,decimal,0.0689066816787156,-0.045670379553240104,0.022460973174319283
2004-12-21,decimal,0.06901428091030948,-0.04582806506251976,0.022286782834716225
2004-12-22,decimal,0.06942423475263557,-0.04632668885005474,0.02150504807085406
2004-12-23,decimal,0.06968337513821403,-0.046651512394256765,0.021035127170645547
2004-12-24,decimal,0.06919660026978897,-0.04623917117568139,0.022281623429168288
2004-12-27,decimal,0.06866617296060928,-0.04548786497289469,0.0231031941848684
2004-12-28,decimal,0.06977969217962793,-0.04623574501795373,0.020180557101128014
2004-12-29,decimal,0.0702052916677098,-0.046583122365533185,0.01914766831884968
2004-12-30,decimal,0.06999657712613278,-0.046630784246428414,0.02010672028559887
2004-12-31,decimal,0.06954911685320728,-0.046156393073698274,0.020952711602283132
2005-01-03,decimal,0.06911146572780977,-0.04571079068930662,0.02169079545392097
2005-01-04,decimal,0.06956256894839685,-0.04621084566974739,0.02072352568940112
2005-01-05,decimal,0.06920366701978645,-0.04581112860968922,0.021574693210762007
2005-01-06,decimal,0.06894481934033124,-0.04570199325718136,0.022225994746376685
2005-01-07,decimal,0.06912675426722552,-0.045909007546048666,0.022102881562537025
2005-01-10,decimal,0.07059631217576287,-0.047345715560448275,0.020119484557930497
2005-01-12,decimal,0.06944157283605785,-0.046239938679545546,0.021671646272397427
2005-01-13,decimal,0.06888970672272599,-0.04566279887797217,0.02272680328083982
2005-01-14,decimal,0.06853601861141301,-0.045330097752151015,0.02341406995057019
2005-01-17,decimal,0.06819019579227427,-0.0450034708178276,0.0240194110390684
2005-01-18,decimal,0.06809113834971371,-0.0449141311413905,0.024226107091699485
2005-01-19,decimal,0.0680439479501798,-0.04481738596858835,0.02424449253588201
2005-01-20,decimal,0.06867643110481289,-0.045528136019843624,0.02285080056329863
2005-01-24,decimal,0.06908168447942883,-0.04623713064764416,0.022364018674172058
2005-01-25,decimal,0.06835323093781157,-0.045444298923976695,0.024111041911311314
2005-01-26,decimal,0.06804607784568549,-0.04508595809110129,0.02464870452566822
2005-01-27,decimal,0.06789493987282168,-0.04511950491505908,0.024992466892482974
2005-01-28,decimal,0.06828280262381983,-0.04552369128234447,0.024075731982910006
2005-01-31,decimal,0.06809774659812524,-0.045359150064020394,0.024487229376751855
2005-02-01,decimal,0.06793585596845554,-0.04522501525555831,0.02488727517227314
2005-02-02,decimal,0.06785709846717139,-0.04519721100168723,0.025102934838448394
2005-02-03,decimal,0.06804707214555275,-0.04544795132998857,0.024740566190016442
2005-02-04,decimal,0.06800730083046076,-0.045380000400826535,0.024838219228710073
2005-02-07,decimal,0.06898452466469522,-0.046345882373317014,0.021947180742414838
2005-02-08,decimal,0.0693089816381517,-0.04663744252057889,0.02134690393867472
2005-02-09,decimal,0.06958953108085471,-0.04688722952306138,0.020650132527696593
2005-02-11,decimal,0.06885136218428128,-0.046103779589043666,0.02268364019938218
2005-02-14,decimal,0.06942789613094515,-0.04643846291146334,0.02131173016285601
2005-02-15,decimal,0.0690462974831527,-0.04600620320425966,0.021972410879813532
2005-02-16,decimal,0.06910474398447146,-0.0460336566374633,0.021523059947115182
2005-02-17,decimal,0.06941466225592793,-0.046352311142948285,0.020783710911054163
2005-02-18,decimal,0.06929016126005674,-0.046191572486340066,0.021061269331774095
2005-02-21,decimal,0.06915861298212894,-0.04580002278625895,0.020794431094238723
2005-02-22,decimal,0.06943963567136877,-0.04597750971026679,0.020100746702274366
2005-02-23,decimal,0.06955567554499396,-0.04604136927888204,0.019704761812200263
2005-02-24,decimal,0.07053615552290748,-0.04695213301157946,0.018168357980804645
2005-02-25,decimal,0.07126384879140846,-0.04762659442496993,0.01685424040888784
2005-02-28,decimal,0.07169720266055102,-0.04795869616779966,0.01596587660842036
2005-03-01,decimal,0.07219332386289957,-0.0484761450532442,0.014967004836882106
2005-03-02,decimal,0.07251527086157086,-0.04879140921745378,0.014248741475355368
2005-03-03,decimal,0.07247766181329408,-0.048753471530727434,0.014175143484436745
2005-03-04,decimal,0.07231326655920627,-0.04872263745367086,0.0145035520976943
2005-03-07,decimal,0.0726692063408409,-0.04927516852799462,0.013891132060397505
2005-03-08,decimal,0.07229952049582958,-0.04894301679945127,0.01495958947352091
2005-03-09,decimal,0.07218517420378577,-0.0488550923858101,0.014639618301986257
2005-03-10,decimal,0.07212788506302324,-0.0487932943271668,0.014545353646407286
2005-03-11,decimal,0.07211559549427231,-0.04877575772442492,0.014482605952119006
2005-03-14,decimal,0.07232103828908308,-0.04896416418207175,0.013677459596620064
2005-03-15,decimal,0.07229760898920472,-0.04892639476995805,0.013872657415885295
2005-03-16,decimal,0.07230817677324507,-0.048932487360754,0.01385371720992133
2005-03-17,decimal,0.0721702360786083,-0.048867770112732675,0.014267075091253585
2005-03-18,decimal,0.0726136720047389,-0.04939102335801142,0.013346458181546925
2005-03-21,decimal,0.0727771795934681,-0.04966361735975636,0.013137297377362297
2005-03-22,decimal,0.07253946042130906,-0.04938899622555177,0.013677378752885714
2005-03-23,decimal,0.0723714342575176,-0.04921725776051071,0.014021782031490732
2005-03-24,decimal,0.07275696398093104,-0.049634828695817944,0.013062001719635907
2005-03-29,decimal,0.0727062394387869,-0.04964821344072635,0.013367751732675908
2005-03-30,decimal,0.0727802733552236,-0.04973718220209285,0.013342355811367565
2005-03-31,decimal,0.0719685484829362,-0.048954371026406006,0.014135071840690882
2005-04-01,decimal,0.0727740643945915,-0.04971126504571502,0.012343696041358349
2005-04-04,decimal,0.07179188697404443,-0.04873495807343463,0.01405002530444937
2005-04-05,decimal,0.07113884812256062,-0.04805849989685609,0.015076065748767478
2005-04-06,decimal,0.07097170297333033,-0.0478831345724082,0.015052274513074998
2005-04-07,decimal,0.07115407060991792,-0.04800087548102229,0.014349709608216167
2005-04-08,decimal,0.07116994751802498,-0.04797752709180616,0.014270507783694061
2005-04-11,decimal,0.07115409264616726,-0.047908413929148026,0.01415880422949308
2005-04-12,decimal,0.07126446348162561,-0.047952542906235476,0.013953839811502259
2005-04-13,decimal,0.07146547735359685,-0.04803594522924945,0.013394761384494086
2005-04-14,decimal,0.07163248322756338,-0.04813285756678427,0.01276322370822798
2005-04-15,decimal,0.07180719704336956,-0.04828714339366133,0.012271692385696734
2005-04-18,decimal,0.07165868109525825,-0.04812795980086244,0.012156539619412314
2005-04-19,decimal,0.07161990573953639,-0.04806851584178897,0.012240835733869469
2005-04-20,decimal,0.07210889300284296,-0.04857571742655965,0.01095736317842275
2005-04-25,decimal,0.07186346118175053,-0.04837113884183857,0.011162160266172385
2005-04-26,decimal,0.07150453216406605,-0.047975643618429334,0.012012280976492835
2005-04-27,decimal,0.07150805923550814,-0.04795993635587825,0.012119807308144619
2005-04-28,decimal,0.07159478422564183,-0.04804233705608006,0.012283693545780907
2005-04-29,decimal,0.07150296456374004,-0.04796848333762038,0.012628958234810318
2005-05-02,decimal,0.0715670724954742,-0.048053966937849184,0.012657177738141507
2005-05-03,decimal,0.07155034767502998,-0.04803183768117431,0.01247677488091762
2005-05-04,decimal,0.07141086168765935,-0.047896032578430114,0.012711085145507922
2005-05-05,decimal,0.07142734262192041,-0.04786027142092307,0.01268632323816669
2005-05-06,decimal,0.07177493521753203,-0.048080931667949085,0.011820785010816105
2005-05-09,decimal,0.07204340189593084,-0.04828823000593564,0.011132426979407896
2005-05-10,decimal,0.0722908076880109,-0.04859420272401705,0.011028354907242324
2005-05-11,decimal,0.07238849959606665,-0.0487272854816815,0.010991756986615739
2005-05-12,decimal,0.07197647626618887,-0.048303482528198306,0.01173942774460378
2005-05-13,decimal,0.07190083646944127,-0.04823910301166543,0.011801583724993334
2005-05-16,decimal,0.0723084436742789,-0.048696288454715436,0.01072564155577867
2005-05-17,decimal,0.07248042463891222,-0.04883213358662848,0.010380497276703786
2005-05-18,decimal,0.07262123981449148,-0.04891923294747066,0.009993428102597518
2005-05-19,decimal,0.07281699355984164,-0.049056942307720515,0.009450423634302247
2005-05-20,decimal,0.0727937598435285,-0.04904352963881116,0.00957967113148754
2005-05-23,decimal,0.07287373743006272,-0.0491065784474677,0.0091968134676473
2005-05-24,decimal,0.07303425134653849,-0.04922029211839513,0.008843851220353938
2005-05-25,decimal,0.0730635770591859,-0.04927512568041444,0.00881895922992085
2005-05-26,decimal,0.07311561551971917,-0.04931889438436424,0.00870845060564846
2005-05-27,decimal,0.07314387841639183,-0.04934172617191122,0.008639580063832942
2005-05-30,decimal,0.07283386871370011,-0.0490087198635742,0.00943080133415272
2005-05-31,decimal,0.0728274931751855,-0.049005831736829306,0.009618049157815082
2005-06-01,decimal,0.07283034380509243,-0.049057992082036705,0.009456722206137634
2005-06-02,decimal,0.07193187959071305,-0.048133254076706586,0.010726893385618205
2005-06-03,decimal,0.07176589562418603,-0.04793334427097711,0.011011482348622788
2005-06-06,decimal,0.07185726375504549,-0.048086549039371054,0.010267680338313418
2005-06-07,decimal,0.0713404810419383,-0.047497322103285035,0.011420064176535032
2005-06-08,decimal,0.07148623766637162,-0.04769727708275409,0.011078073178960889
2005-06-09,decimal,0.07148086914851473,-0.04767441631457102,0.011063190888076587
2005-06-10,decimal,0.07135191157435318,-0.04753695251966081,0.011230924133680927
2005-06-13,decimal,0.07117637529854794,-0.04735863607298366,0.011473720760900063
2005-06-14,decimal,0.07118121711814465,-0.04735803905364951,0.011484573463683855
2005-06-15,decimal,0.07101353901945341,-0.04716497588582501,0.011834610193404364
2005-06-16,decimal,0.07069959673454736,-0.046840659611340506,0.012606482852204618
2005-06-17,decimal,0.07061741667045077,-0.046772900763535366,0.012768876425753048
2005-06-20,decimal,0.07097020246153331,-0.047185699588060175,0.011933649365479696
2005-06-21,decimal,0.07098497463763873,-0.04718650043010706,0.012006063323514816
2005-06-22,decimal,0.07056740872340427,-0.04677362133941369,0.013146107414591202
2005-06-23,decimal,0.07049467793175143,-0.046717276489834106,0.013257607589330221
2005-06-24,decimal,0.07100806446458524,-0.046866042558798386,0.01171893504813155
2005-06-27,decimal,0.0716365862361476,-0.04681666673886853,0.00941476123839001
2005-06-28,decimal,0.07204970327978509,-0.04687381035404541,0.008060583259248508
2005-06-29,decimal,0.07210572403684967,-0.04671920567241163,0.007608932935706899
2005-06-30,decimal,0.07215211275124103,-0.046652832101624075,0.007300891115010732
2005-07-01,decimal,0.07215889347674849,-0.04663385397966388,0.007340041717453396
2005-07-04,decimal,0.0720798148448002,-0.046549480542390026,0.007468352665792329
2005-07-05,decimal,0.07198993849431651,-0.04651757878629282,0.0077797180746355865
2005-07-06,decimal,0.07172526493636208,-0.046229086869181445,0.008254317587065386
2005-07-07,decimal,0.07162386043737477,-0.04611644089305152,0.008366332278348867
2005-07-08,decimal,0.07167558149677948,-0.04615796699376506,0.008129900550053297
2005-07-11,decimal,0.07155315005616704,-0.04603326260068668,0.00833390572985137
2005-07-12,decimal,0.07158193044949573,-0.04605441301197598,0.008309589481835725
2005-07-13,decimal,0.07160702671442114,-0.046033161391240494,0.00820061778503678
2005-07-14,decimal,0.07200451276992083,-0.0464933238858467,0.0075013399196941
2005-07-15,decimal,0.07236443809782038,-0.04687454159826001,0.006759744431049835
2005-07-18,decimal,0.07258971936452897,-0.04711075521580134,0.006294106909725667
2005-07-19,decimal,0.07252223161633348,-0.04702430776890382,0.006577975276219694
2005-07-20,decimal,0.07207136386392396,-0.046930820779021824,0.00795576674075377
2005-07-21,decimal,0.07162449831712062,-0.04666125671321982,0.009180856839595996
2005-07-22,decimal,0.07154896687877932,-0.04671762097068699,0.009482558691863489
2005-07-25,decimal,0.07143949483411362,-0.046716358971987254,0.009808583308629826
2005-07-26,decimal,0.07146053722193864,-0.046767377653553696,0.00987317984366856
2005-07-27,decimal,0.07145917697760606,-0.04678246326914803,0.009916809385854146
2005-07-28,decimal,0.0712043779232806,-0.04653240090962235,0.010606978092950586
2005-07-29,decimal,0.0711025692600142,-0.04659549397050966,0.011028954711458329
2005-08-01,decimal,0.07086809477279284,-0.0464925686632548,0.011632808564620466
2005-08-02,decimal,0.07089852713071947,-0.046558160062450234,0.011630893902852761
2005-08-03,decimal,0.07088091785252931,-0.04655886848606581,0.011679026530698265
2005-08-04,decimal,0.07073094380974403,-0.04633804085652793,0.01197870328640596
2005-08-05,decimal,0.07228470926778065,-0.04664647277399867,0.0072107142483377315
2005-08-08,decimal,0.07346019153639237,-0.04685885143538648,0.0030755514702118843
2005-08-09,decimal,0.07424160094412363,-0.0472878722521053,0.0008791384640423686
2005-08-10,decimal,0.07494340961541479,-0.04777702405881312,-0.0010927278896227218
