,rate_unit,3M_x,6M_x,1Y_x,2Y_x,3Y_x,4Y_x,5Y_x,6Y_x,7Y_x,8Y_x,9Y_x,10Y_x,11Y_x,12Y_x,13Y_x,14Y_x,15Y_x,16Y_x,17Y_x,18Y_x,19Y_x,20Y_x,30Y_x
2026-06-19,decimal,0.022191126860233154,0.022615295835711306,0.023434150237791725,0.024960872611452516,0.026351886111042097,0.027620570345097684,0.028778913727099214,0.029837662770377,0.030806455030109064,0.03169393750908043,0.03250787213999393,0.033255229776295435,0.0339422739630836,0.034574635617391866,0.035157379620900965,0.035695064216141624,0.03619179399786386,0.03665126720305104,0.03707681792477676,0.03747145380561636,0.03783788970463861,0.03817857777723368,0.040567199165859665
2026-06-22,decimal,0.022220775637392068,0.022644687152365298,0.023463059070928785,0.02498893593655912,0.026379245321369087,0.027647347749633854,0.028805214967179076,0.02986357893868767,0.030832064528210353,0.03171930767520767,0.032533060675088425,0.03328028599284048,0.03396723987836034,0.03459954691016041,0.03518226646821659,0.03571995202499527,0.03621670404455816,0.03667621719165877,0.037101822474652345,0.03749652487672017,0.03786303696836875,0.03820380893952326,0.04059342174096496
2026-06-23,decimal,0.022250222084209455,0.02267387734391051,0.023491769037904,0.02501680435536044,0.02640641292468743,0.02767393627498802,0.028831329562246356,0.02988931027042207,0.030857490631693962,0.031744495573856585,0.03255806780002773,0.03330516142591158,0.03399202544027396,0.034624278112712306,0.035206973347197586,0.03574465986841631,0.03624143402904149,0.036700986938289236,0.03712664653421271,0.03752141515302954,0.03788800308738275,0.03822885857092256,0.04061945819935969
2026-06-24,decimal,0.022279467574370982,0.02270286777841552,0.023520281496255565,0.02504447920692638,0.026433390244667895,0.027700337232087514,0.028857258812779504,0.029914858057589016,0.030882734625803276,0.0317695024849695,0.03258289479070852,0.03332985734843323,0.034016631919692106,0.03464883049463613,0.03523150152681176,0.03576918901530662,0.036265985220614964,0.036725577713030325,0.037151291374653075,0.03754612590710974,0.037912789335828936,0.038253727947333165,0.04064530983792733
2026-06-25,decimal,0.022308513472272862,0.022731659814685584,0.023548597794307406,0.025071961821198613,0.026460178595924803,0.027726551922862674,0.028883004010308768,0.02994022358328875,0.030907797786904796,0.031794329679636746,0.032607542914194536,0.0333543750245111,0.03404106057867336,0.03467320531671749,0.03525585226722713,0.03579354072576881,0.03629035887977878,0.03674999077716558,0.03717575825835935,0.03757065840271059,0.037937396979033,0.03827841833582608,0.04067097794462474
2026-06-26,decimal,0.022337361133084523,0.022760254802325196,0.0235767192712315,0.025099253519052497,0.026486779284077628,0.027752581640308176,0.028908566437477308,0.02996540812177384,0.0309326813825489,0.031818978420157275,0.0326320134287771,0.03337871570949241,0.034065312670527634,0.03469740383099953,0.03528002681987225,0.0358177162511666,0.036314556258292614,0.03677422738323456,0.037200048438968576,0.037595013894826876,0.03796182727355847,0.0383029309947022,0.040696463798543116
2026-06-29,decimal,0.02236601190281084,0.02278865408180023,0.023604647257109763,0.025126355612358587,0.026513193605812148,0.027778427668543913,0.028933947368101856,0.029990412938509663,0.030957386671530158,0.03184344996009892,0.032656307584035246,0.03340288065002604,0.034089389439876175,0.03472142728084283,0.03530402642749629,0.03584171683418481,0.03633857859923558,0.03679828877509291,0.03722416316142892,0.0376191936297584,0.037986081467266807,0.0383272671735525,0.04072176866996854
2026-06-30,decimal,0.022394467118353998,0.02281685898449964,0.02363238307299557,0.025153269404043707,0.02653942284894123,0.02780409128287548,0.028959148067232966,0.03001523929023447,0.030981914903947274,0.03186774554435815,0.03268042662089549,0.033426871084122185,0.03411329212271124,0.03474527690098504,0.035327852324228505,0.03586554370888886,0.03636242713706586,0.03682217618797187,0.03724810366205935,0.03764319884516967,0.03801016079937707,0.03835142811331763,0.04074689382044211
2026-07-01,decimal,0.022422728107574817,0.022844870832796696,0.02365992803097473,0.025179996188151605,0.026565468292465092,0.02782957374985421,0.028984169791214827,0.030039888425019038,0.031006267321262566,0.031891866409219496,0.03270437177169105,0.03345068824121152,0.03413702194645516,0.03476895391760003,0.03535150573563741,0.035889198100783976,0.036386103097679735,0.03684589084853744,0.037271871168608674,0.03766703077014901,0.038034066500525134,0.03837541504634729,0.040771840502819665
2026-07-02,decimal,0.022450796189353837,0.022872690940109925,0.02368728343422622,0.02520653724990322,0.026591331206631316,0.02785487632733685,0.029009013787744724,0.03006436158232591,0.03103044515636108,0.03191581378241451,0.03272814426022078,0.033474333342204156,0.03416058013001926,0.034792459548356615,0.03537498787878954,0.035912681226873897,0.036409607698470466,0.03686943397494921,0.03729546690031448,0.03769069062526745,0.03805779979282255,0.03839922919645905,0.040796609961331054
