Date,rate_unit,beta0,beta1,beta2
2009-10-02,decimal,0.05021751729328688,-0.018398778539492643,0.00352678954911656
2009-10-05,decimal,0.05023530352041098,-0.01842866880454103,0.003503258766174089
2009-10-06,decimal,0.05000333049125806,-0.01818909703090175,0.004075941626347842
2009-10-07,decimal,0.04984984897633157,-0.017985170739515735,0.0043512108431415526
2009-10-08,decimal,0.04979071603410755,-0.017875763783959598,0.004394106753469755
2009-10-09,decimal,0.04977509279359516,-0.017818187235988048,0.004350447817779199
2009-10-12,decimal,0.05033231521646562,-0.018429110240458634,0.0031991286372186232
2009-10-13,decimal,0.05059627717384715,-0.018801738953187735,0.002825280087877407
2009-10-14,decimal,0.051090161798804504,-0.01935649228638456,0.0017742442940293
2009-10-15,decimal,0.05088045428841004,-0.019010114907263023,0.0021694949419415878
2009-10-16,decimal,0.05074394357132687,-0.018809142768400983,0.0023353478053642924
2009-10-19,decimal,0.05110267576346811,-0.019285466452558447,0.0016147384954990596
2009-10-20,decimal,0.050792739140075226,-0.01886547335930597,0.0022215666292596734
2009-10-21,decimal,0.051042658828962764,-0.019152731360062833,0.0017458060598531447
2009-10-22,decimal,0.05121911324075148,-0.0193124897470447,0.001388014174031033
2009-10-23,decimal,0.05082010893451173,-0.018799185384802627,0.002216188627091271
2009-10-26,decimal,0.05052900296691498,-0.01847679072602774,0.0028373272443615164
2009-10-27,decimal,0.05032874264629017,-0.018332869457060554,0.0033027946961299015
2009-10-28,decimal,0.05006053999174083,-0.018095599713059938,0.00402504274117163
2009-10-29,decimal,0.049698382278268664,-0.017653063978962134,0.004746023378897063
2009-10-30,decimal,0.0494576383881994,-0.017394144767797968,0.00520127451250718
2009-11-02,decimal,0.04932589448578608,-0.01722371733357018,0.005377620423551838
2009-11-03,decimal,0.04950328283287438,-0.017401088953567446,0.004942127970549518
2009-11-04,decimal,0.049335503615052394,-0.017196467491826357,0.004946608850529694
2009-11-05,decimal,0.04945609857556217,-0.017248515702238485,0.004680064514767286
2009-11-09,decimal,0.049258134415503425,-0.017015400457675606,0.0048496807753262376
2009-11-10,decimal,0.049303743667482844,-0.017057615600159684,0.004650447597370412
2009-11-11,decimal,0.04937346130914369,-0.017087294742699398,0.004428364978311958
2009-11-12,decimal,0.048925049432148905,-0.016563510494627707,0.005361271449670103
2009-11-13,decimal,0.04865498489478059,-0.016267573287276196,0.0058644975146848
2009-11-16,decimal,0.04828181003607788,-0.015907876987997,0.006752316239664298
2009-11-17,decimal,0.0481623527634539,-0.015738243888633947,0.0070627535307202175
2009-11-19,decimal,0.04830369039052465,-0.015930230141671328,0.006828858254294045
2009-11-20,decimal,0.048320595882995976,-0.015961700513621044,0.006833471186991934
2009-11-23,decimal,0.04832697423468295,-0.015969431474037954,0.00684318764072837
2009-11-24,decimal,0.04831193421580711,-0.01589494409414049,0.006800732146770051
2009-11-25,decimal,0.04819786510760528,-0.01578323988833112,0.007053367577767252
2009-11-26,decimal,0.04827906818330233,-0.015691411045225704,0.006667660564743794
2009-11-27,decimal,0.04836681030073492,-0.015715227232810516,0.006364872642178051
2009-11-30,decimal,0.048280870727159454,-0.01576729185468568,0.00669351757542886
2009-12-01,decimal,0.048286710714561455,-0.015818394671642033,0.006738755320619105
2009-12-02,decimal,0.04909310895437936,-0.01676378305486654,0.0053449602855631054
2009-12-03,decimal,0.04955780335301098,-0.017288711678898,0.004592682459318614
2009-12-04,decimal,0.04937416198406322,-0.01709491853520965,0.005217210091396927
2009-12-07,decimal,0.048479792759158466,-0.016154701977775014,0.007281807912597294
2009-12-08,decimal,0.04800105428852378,-0.01566450606455425,0.008394395226718672
2009-12-09,decimal,0.04784365333510894,-0.015441215854648482,0.008628414713464217
2009-12-10,decimal,0.04754086626635855,-0.015066528981119388,0.009184823182692706
2009-12-11,decimal,0.04733952175822705,-0.014826610676602183,0.009521390141252946
2009-12-14,decimal,0.048007877743017194,-0.015546382974857543,0.007896531457029664
2009-12-15,decimal,0.04769320674171823,-0.015163652123883731,0.008583561693557262
2009-12-16,decimal,0.04752721160353897,-0.014975052797408479,0.008903054491076859
