,rate_unit,3M_x,6M_x,1Y_x,2Y_x,3Y_x,4Y_x,5Y_x,6Y_x,7Y_x,8Y_x,9Y_x,10Y_x,11Y_x,12Y_x,13Y_x,14Y_x,15Y_x,16Y_x,17Y_x,18Y_x,19Y_x,20Y_x,30Y_x
2026-06-19,decimal,0.022192411044685372,0.0226166212075888,0.023435550015501887,0.0249623921321449,0.026353491472661552,0.027622232794339428,0.028780608972269233,0.029839370381428313,0.030808157915070463,0.03169562145740876,0.032509525424536966,0.033256842806568515,0.03394383898345627,0.034576146444565754,0.035158831415749874,0.03569645328559103,0.0361931176230192,0.03665252349025212,0.03707800567666614,0.03747257240967043,0.0378389390369266,0.03817955811944781,0.04056755423354232
2026-06-22,decimal,0.022222787236893825,0.022646766066290167,0.023465260248072845,0.02499133649083066,0.02638179251779866,0.02764999677163759,0.028807927864729292,0.029866323709586175,0.030834814316026343,0.031722040069443944,0.032535757100899905,0.033282931179176564,0.033969821394763,0.03460205476364584,0.03518469275271915,0.03572229061677583,0.036218950337790635,0.03667836786912142,0.03710387530907636,0.037498478558898325,0.03786489095860949,0.03820556333945968,0.0405942647741297
2026-06-23,decimal,0.022252959794415095,0.022676708356517743,0.02349476991511281,0.02502008381252761,0.0264098994886201,0.02767756914680199,0.028835057202640416,0.029893089163756808,0.030861284206809943,0.03174827326225251,0.03256180421438086,0.03330883564399896,0.03399562038117876,0.03462777999380376,0.03521037121178382,0.035747945175208566,0.03624460029565725,0.036704029431978806,0.03712956200383413,0.03752420159703505,0.03789065955322824,0.03823138498188068,0.04062078844536764
2026-06-24,decimal,0.02228293008413614,0.022706449440241278,0.023524080369355216,0.025048635433701377,0.026437813707937238,0.02770495123125491,0.028861998287996488,0.029919668038200335,0.030887568875409967,0.03177432231881137,0.03258766804402768,0.033334557477083235,0.034021237216545284,0.034653323407353165,0.035235868064305766,0.03577341823178743,0.03627006876746519,0.03672950944996372,0.03715506703266022,0.037549742796621134,0.03791624609433882,0.03825702432144099,0.04064712653732598
2026-06-25,decimal,0.022312699463762697,0.022735990670271995,0.023553192954417594,0.02507699268177673,0.026465536489583535,0.027732144327493234,0.028888752413909445,0.02994606161833057,0.03091366960099768,0.03180018851330298,0.03261334986011187,0.03336009794571432,0.034046673165951793,0.03467868626786222,0.03526118457290565,0.03579871104867149,0.036295357015321605,0.0367548091854752,0.037180391658532194,0.03757510342145002,0.03794165184674533,0.03828248262411355,0.04067328033124593
2026-06-26,decimal,0.02234226928188101,0.022765333390324202,0.02358210900486297,0.025105156875198643,0.026493069138475333,0.027759149729148988,0.02891532086466961,0.02997227118077516,0.030939587653986907,0.031825873111175344,0.032638850924188424,0.03338545830847434,0.03407192948579476,0.03470386983021324,0.035286321991522616,0.035823824879340264,0.0363204662926543,0.036779929892231486,0.03720553713574409,0.03760028472662783,0.037966878066559843,0.03830776114717371,0.040699251099600056
2026-06-29,decimal,0.022371640878019062,0.022794478935076426,0.023610829846260818,0.025133129323492865,0.026520412950672156,0.027785968721049405,0.028941704915805572,0.029998297993435306,0.030965324296093635,0.031851377369201475,0.032664172489155215,0.03341063981530196,0.03409700742383716,0.034728875340661956,0.03531128156547347,0.03584876096865305,0.03634539784427098,0.0368048728153293,0.03723050470996574,0.03762528795863259,0.037991926001261576,0.038332861139258594,0.04072504010615193
2026-06-30,decimal,0.02240081558270746,0.0228234286302322,0.023639356795247653,0.025160911327326205,0.026547569213436678,0.02781260257927665,0.028967905834143683,0.03002414331554511,0.030990880780395212,0.03187670253553846,0.032689315799312,0.03343564370755127,0.0341219082192674,0.034753704036896434,0.035336064531511585,0.03587352055290771,0.036370152906418096,0.03682963919130272,0.03725529561830151,0.03765011435537312,0.0380167968897559,0.03835778384042601,0.040750648606015426
2026-07-01,decimal,0.022429794717539878,0.0228521837925804,0.02366769115958714,0.025188504178566308,0.02657453920529421,0.02783905257122706,0.02899392487786714,0.030049808397730485,0.031016258351389145,0.03190184984978619,0.03271428209041908,0.033460471218050424,0.03414663310275786,0.03477835714809548,0.03536067211788537,0.03589810485989915,0.03639473270683929,0.03685423024818158,0.0372799110893489,0.03767476514624755,0.03804149196243276,0.038382530482213,0.040776077845713576
2026-07-02,decimal,0.022458579595233112,0.022880745730055174,0.02369583423822989,0.02521590916034106,0.02660132419609187,0.02786531995567009,0.029019763296574696,0.03007529448206771,0.03104145824505151,0.031926820543045624,0.032739072589755454,0.03348512357115974,0.034171183296522904,0.0348028358949868,0.035385105544396264,0.03592251510897734,0.036419138464833405,0.036878647205549536,0.03730435234325651,0.03769924155220134,0.03806601244122486,0.03840710228769393,0.04080132906323701
