,rate_unit,beta0,beta1,beta2
2026-06-19,decimal,0.045917398374984264,-0.02415937768558082,0.003973122787598681
2026-06-22,decimal,0.04594766707840484,-0.02415902906937726,0.003957718452002098
2026-06-23,decimal,0.045977732380875574,-0.024158681798350956,0.003942385384789493
2026-06-24,decimal,0.046007595649219,-0.024158335867311385,0.003927123256236647
2026-06-25,decimal,0.04603725824107284,-0.024157991271088045,0.0039119317381448105
2026-06-26,decimal,0.046066721504951696,-0.02415764800453039,0.0038968105038336537
2026-06-29,decimal,0.046095986780308365,-0.024157306062507745,0.0038817592281342374
2026-06-30,decimal,0.04612505539759473,-0.024156965439909233,0.0038667775873820207
2026-07-01,decimal,0.046153928678322256,-0.0241566261316437,0.003851865259409902
2026-07-02,decimal,0.046182607935122036,-0.024156288132639633,0.00383702192354129
2026-07-03,decimal,0.0462110944718045,-0.024155951437845092,0.003822247260583208
2026-07-06,decimal,0.04623938958341867,-0.02415561604222763,0.003807540952819432
2026-07-07,decimal,0.046267494556311066,-0.024155281940774213,0.0037929026840036553
2026-07-08,decimal,0.04629541066818412,-0.024154949128491157,0.0037783321393526892
2026-07-09,decimal,0.04632313918815434,-0.024154617600404046,0.0037638290055396952
2026-07-10,decimal,0.04635068137680994,-0.024154287351557654,0.0037493929706874447
2026-07-13,decimal,0.04637803848626821,-0.024153958377015877,0.0037350237243616146
2026-07-14,decimal,0.04640521176023238,-0.02415363067186166,0.0037207209575641103
2026-07-15,decimal,0.0464322024340482,-0.02415330423119692,0.0037064843627264213
2026-07-16,decimal,0.04645901173476009,-0.02415297905014247,0.003692313633703008
2026-07-17,decimal,0.04648564088116692,-0.02415265512383796,0.003678208465764717
2026-07-20,decimal,0.04651209108387743,-0.02415233244744178,0.0036641685555922282
