,beta0,beta1,beta2,lambda
2020-10-01,5.037837614726927,-2.5480007517937326,-1.0268395819145046,4.197045182960938
2020-11-01,5.036910116566061,-2.541408074004967,-1.0186729563574302,4.197043963845046
2020-12-01,5.036013902505159,-2.5349273903462537,-1.0110328639350026,4.197043139708089
2021-01-01,5.03514791734546,-2.528556798300047,-1.0038853570712074,4.197042582581627
2021-02-01,5.034311141479588,-2.5222944276681107,-0.9971986769182248,4.197042205957461
2021-03-01,5.033502589691067,-2.5161384400224907,-0.9909431122408724,4.197041951355009
2021-04-01,5.032721309994336,-2.5100870281658096,-0.9850908673992996,4.197041779240699
2021-05-01,5.031966382513883,-2.5041384156007354,-0.9796159388433359,4.1970416628893625
2021-06-01,5.031236918401188,-2.4982908560084574,-0.974493999569713,4.197041584234465
2021-07-01,5.030532058788194,-2.4925426327360247,-0.9697022910287674,4.197041531062811
2021-08-01,5.029850973776083,-2.486892058292394,-0.9652195220003223,4.197041495118135
2021-09-01,5.029192861458152,-2.481337473853036,-0.9610257739894261,4.197041470819104
2021-10-01,5.028556946975658,-2.4758772487729575,-0.9571024127215811,4.197041454392667
2021-11-01,5.0279424816054945,-2.470509780108,-0.9534320053442107,4.197041443288199
2021-12-01,5.027348741878654,-2.4652334921442645,-0.9499982429664587,4.197041435781445
2022-01-01,5.026775028728417,-2.460046835935536,-0.9467858681931408,4.19704143070679
2022-02-01,5.02622066666727,-2.454948288848562,-0.9437806073308544,4.197041427276262
2022-03-01,5.0256850029915965,-2.4499363541160557,-0.940969106965017,4.197041424957184
2022-04-01,5.02516740701318,-2.4450095603972968,-0.9383388746260212,4.197041423389459
2022-05-01,5.024667269316637,-2.4401664613461915,-0.935878223280867,4.197041422329659
2022-06-01,5.024184001041895,-2.4354056351866737,-0.9335762194036274,4.197041421613221
2022-07-01,5.023717033190868,-2.4307256842953167,-0.9314226343940073,4.1970414211289
2022-08-01,5.023265815957522,-2.4261252347910376,-0.92940789912813,4.197041420801494
2022-09-01,5.022829818080536,-2.42160293613177,-0.9275230614396074,4.197041420580163
2022-10-01,5.022408526217798,-2.4171574607179886,-0.9257597463419642,4.197041420430541
2022-11-01,5.022001444341994,-2.4127875035029707,-0.924110118815674,4.197041420329394
2022-12-01,5.021608093156593,-2.408491781609675,-0.9225668489944538,4.1970414202610185
2023-01-01,5.021228009531522,-2.404269033954132,-0.921123079596131,4.197041420214795
2023-02-01,5.020860745957879,-2.4001180208752313,-0.9197723954533638,4.197041420183548
2023-03-01,5.020505870021038,-2.396037523770795,-0.9185087950088313,4.197041420162424
2023-04-01,5.020162963891526,-2.3920263447398384,-0.917326663648237,4.197041420148144
2023-05-01,5.0198316238330705,-2.388083306230905,-0.9162207487526328,4.197041420138491
2023-06-01,5.019511459727246,-2.3842072506963743,-0.9151861363592145,4.197041420131965
2023-07-01,5.019202094614147,-2.380397040252644,-0.9142182293268838,4.197041420127554
