Date d'échéance,Transaction,Taux moyen pondéré,Date de la valeur
18/05/2026,0,"2,270 %",31/03/2026
17/08/2026,0,"2,340 %",31/03/2026
15/02/2027,0,"2,460 %",31/03/2026
20/09/2027,0,"2,610 %",31/03/2026
15/04/2030,0,"2,960 %",31/03/2026
14/04/2031,0,"3,060 %",31/03/2026
18/06/2035,0,"3,300 %",31/03/2026
18/07/2039,0,"3,580 %",31/03/2026
14/08/2045,0,"3,730 %",31/03/2026
19/04/2055,0,"4,090 %",31/03/2026
Total,0,,
