Date,beta0,beta1,beta2,lambda,rmse,Taux directeur,IPC,PIB,europe_beta0,europe_beta1,europe_beta2,europe_lambda,europe_rmse
2017-01-01,4.898245827544494,-2.6833950410915888,-2.002550488568455,4.899999999999999,0.0480478231698057,2.25,99.4,284168.0,1.656032103073423,-2.4023948279547667,-3.4236195712568174,2.3999999999999995,0.0229836659713692
2017-02-01,4.729566893261175,-2.468176609607654,-1.380875398724715,4.899999999999999,0.0516207826332584,2.25,99.5,284168.0,1.749656800818352,-2.379198741826595,-3.713812235058409,2.3999999999999995,0.0217995733348617
2017-03-01,4.682222445706525,-2.481941362710185,-1.0481240981566915,4.899999999999999,0.0356444073740557,2.25,99.3,284168.0,1.79445429352015,-2.4576108604428493,-4.056766583066706,2.3,0.0200677930570305
2017-04-01,4.995166079467858,-2.8486873876507337,-1.7414241812673552,4.899999999999999,0.0370778869611937,2.25,99.3,287362.0,1.827561358615148,-2.613090064879726,-3.573627874947859,2.3999999999999995,0.0154361271856556
2017-05-01,5.000778609791246,-2.826277372188181,-1.767370396211605,4.899999999999999,0.0404666827415253,2.25,99.7,287362.0,1.6456445720500574,-2.343772014822693,-3.5585937018278404,2.3999999999999995,0.0170432883347756
2017-06-01,5.227396222835453,-3.106612022357223,-1.8845389870403724,4.899999999999999,0.0221735314850594,2.25,100.0,287362.0,1.8441877302734644,-2.506177895294437,-3.5290333313525224,2.5,0.0161744596448132
2017-07-01,5.305214348533844,-3.147299334901289,-2.0322572120921785,4.899999999999999,0.0260907168833385,2.25,99.5,287526.0,1.7848861263012938,-2.4198740510716283,-3.462905873591385,2.6,0.0153317608815081
2017-08-01,5.29300132531304,-3.051816981370126,-2.040491698984289,4.899999999999999,0.0247183663713861,2.25,99.8,287526.0,1.956400460707622,-2.584780408056876,-3.486067963486278,2.3999999999999995,0.0113118708951653
2017-09-01,5.278959958411552,-3.0556613509421893,-1.998949243195267,4.899999999999999,0.0192266678414479,2.25,100.6,287526.0,1.80494112996256,-2.445606096482205,-3.5546038660693307,2.3999999999999995,0.0137008378849095
2017-10-01,5.260691432658924,-3.044406552001293,-2.090039468481668,4.899999999999999,0.0248475103450838,2.25,100.5,289839.0,1.8701557899298604,-2.566367095345368,-3.5316279633668874,2.5,0.0144615672496099
2017-11-01,5.164954530421021,-2.9718228951582093,-2.1560740957294224,4.899999999999999,0.0221227589344786,2.25,101.0,289839.0,1.884003990946905,-2.5815232188397115,-3.595025331305955,2.3999999999999995,0.0118014258964389
2017-12-01,5.115481093574306,-2.945589126867283,-1.946020261391604,4.899999999999999,0.0210086319416011,2.25,101.2,289839.0,1.8436806399126036,-2.56160991619512,-3.4874390397195887,2.5,0.0118937980466975
2018-01-01,5.023737573394383,-2.8067804726694114,-1.737237696256966,4.899999999999999,0.0290800547241328,2.25,101.4,295512.0,1.7225184140284178,-2.516092398681133,-3.022836031358907,2.5,0.0081170254421096
2018-02-01,4.920095482842811,-2.651202462824115,-1.4047635974841244,4.899999999999999,0.0289119792673719,2.25,100.9,295512.0,1.769422994239857,-2.3653677035785403,-3.1369657738166974,2.2,0.0012418250587415
2018-03-01,5.100691137386462,-2.839115651909752,-1.908443080428203,4.899999999999999,0.0222051974246823,2.25,101.0,295512.0,1.7771872975973009,-2.350196835076586,-3.337783839514867,1.7999999999999998,0.0033909701705643
2018-04-01,5.1239167296667,-2.9209027082274304,-2.0102550451370225,4.899999999999999,0.0160146008777956,2.25,101.5,298553.0,1.6757556676517726,-2.3209083358157345,-2.995009279146136,2.0,0.0026600473717185
2018-05-01,5.114902148234638,-2.874764162989339,-2.075780265423701,4.899999999999999,0.0135223439435022,2.25,102.1,298553.0,1.6573766738793356,-2.280659936379572,-2.9185489142948557,2.1,0.0020590136717622
2018-06-01,5.112375922254947,-2.8272896073846883,-2.157606460395998,4.899999999999999,0.0185675901843249,2.25,102.4,298553.0,1.6458099605374208,-2.2011185550764,-3.2596686056882063,2.0,0.003014898688819
2018-07-01,5.06786732782836,-2.7740554008712786,-2.0455062071212846,4.899999999999999,0.0273039582454555,2.25,101.4,300025.0,1.5868076751213964,-2.142039278232986,-3.3399494334051973,2.1,0.0023220934375539
2018-08-01,5.069708579008827,-2.7562464542142195,-2.085741554241518,4.899999999999999,0.0261183384666021,2.25,101.4,300025.0,1.4718398256826544,-2.0497682845438017,-3.0700021201808303,2.2,0.0023470753144971
2018-09-01,5.047084288325213,-2.72705746695203,-1.993886101446058,4.899999999999999,0.0276938206457794,2.25,101.8,300025.0,1.487687972979581,-2.072826050094605,-2.9377323887189504,2.3,0.0014861894386324
2018-10-01,4.999133725321407,-2.664861289517791,-1.8709239529464392,4.899999999999999,0.0291774243172032,2.25,101.6,301147.0,1.5461150381723638,-2.129754794965048,-2.746788993593257,2.3,0.002017174355379
2018-11-01,4.937686553308548,-2.5994585506155485,-1.6825272276642649,4.899999999999999,0.0313494870517581,2.25,102.1,301147.0,1.505433239330748,-2.1733569464446902,-2.7049451801245685,2.1,0.003540826559681
2018-12-01,4.929174625716221,-2.6089113360274374,-1.55475530715729,4.899999999999999,0.0342740028159347,2.25,101.4,301147.0,1.516570346054606,-2.1939881499107496,-2.696953727939034,2.3,0.0028851909764821
2019-01-01,4.928087818963841,-2.592912094286735,-1.5741537950192417,4.899999999999999,0.0319752710968314,2.25,100.9,304983.0,1.3594930507848186,-2.096779315864824,-2.3343513587910154,2.5,0.0019811324821887
2019-02-01,4.961859325770282,-2.611617832200888,-1.7102559241997888,4.899999999999999,0.0225071718613649,2.25,100.9,304983.0,1.2965928958651534,-1.8364037617576123,-2.773996457994908,2.3999999999999995,0.006435640293937
2019-03-01,5.041008479738939,-2.686191387139708,-2.273916586059813,4.899999999999999,0.023089235460952,2.25,100.9,304983.0,1.2528838940253944,-1.7563715488667744,-2.6078023198440934,2.6999999999999997,0.0083581404133302
2019-04-01,5.066532681396784,-2.7174665774398346,-2.583385321215541,4.899999999999999,0.0190529385466377,2.25,101.5,314549.0,1.2372880015279473,-1.764586507637175,-2.443953219512298,3.0,0.0078148254170253
2019-05-01,5.036913128898883,-2.692406592303262,-2.638299004366468,4.899999999999999,0.0192048122517625,2.25,102.4,314549.0,1.1958708317689697,-1.7154127190551858,-2.5392778376010265,3.0,0.0054209903647497
2019-06-01,4.975366721046635,-2.6317188943238987,-2.826013535524616,4.899999999999999,0.0280026280429836,2.25,102.6,314549.0,1.0886616979205457,-1.601341240195628,-2.674328350880792,2.8999999999999995,0.009101729668056
2019-07-01,4.852061662106631,-2.514393531828247,-2.670659614734822,4.899999999999999,0.0288565260678662,2.25,101.7,311842.0,0.8042604437536963,-1.3219899287645442,-2.567643536737877,2.8999999999999995,0.0065285587591684
2019-08-01,4.813029098159937,-2.4720008131632207,-2.6128671387687668,4.899999999999999,0.0288237219046635,2.25,102.1,311842.0,0.750556743816665,-1.336304733861359,-2.518130855677346,3.1,0.0032588354367582
2019-09-01,4.7585229834984935,-2.4519724776412515,-2.462325340159901,4.899999999999999,0.0230207911691275,2.25,101.9,311842.0,0.292756779444184,-0.9993603007747368,-2.1338972135742007,3.2999999999999994,0.0033031754296329
2019-10-01,4.6855265680669245,-2.409874933883253,-2.2885718619180744,4.899999999999999,0.0264115714429758,2.25,102.1,308462.0,0.3509785899393786,-1.020095837429624,-2.037463353927106,3.3999999999999995,0.0056462757646908
2019-11-01,4.630780882990582,-2.3308728728775265,-2.5064456325315687,4.899999999999999,0.0354516083912578,2.25,102.5,308462.0,0.4675987860072439,-1.0834411617023838,-1.932791177181456,3.3999999999999995,0.0043954472776565
2019-12-01,4.494946888849646,-2.1544555406528025,-2.6145106792689643,4.899999999999999,0.0341951727719488,2.25,102.5,308462.0,0.5888375205841119,-1.1784015507946264,-1.8124148582923305,3.3999999999999995,0.0039136413077761
2020-01-01,4.470181589606775,-2.1082135579780976,-2.8316721437476597,4.899999999999999,0.0443908631749119,2.25,102.3,302278.0,0.6218150919035809,-1.2614286394358012,-1.6655152926915513,3.2999999999999994,0.0071789573916555
2020-02-01,4.474673946670957,-2.0773539685903404,-3.0467347070580955,4.899999999999999,0.0741261714021122,2.25,102.1,302278.0,0.6804946078433535,-1.2514481482174475,-1.807677536968588,3.599999999999999,0.0024186308869803
2020-03-01,4.232338139334456,-1.821619351487392,-2.5658717694137025,4.899999999999999,0.0776248474525175,2.25,102.5,302278.0,0.4967913782336646,-1.077124749989907,-1.8564089262713528,3.6999999999999993,0.0093112624968402
2020-04-01,4.157214773544904,-1.736383961361465,-2.348290929031525,4.899999999999999,0.0783047948155378,2.0,102.4,267726.0,0.1230317724873257,-0.8154950852502723,-1.4746601185631696,2.7999999999999994,0.0014968121649601
2020-05-01,4.09350981643831,-1.7422389650252796,-2.0384692783177747,4.899999999999999,0.0876365927560822,2.0,102.2,267726.0,0.2833749337196051,-0.8300033616573235,-1.5981373976488968,2.8999999999999995,0.0054406770698537
2020-06-01,4.000906217253074,-1.8382830205805265,-1.453017697157313,4.899999999999999,0.0827546356692137,2.0,101.9,267726.0,0.2859436182093595,-0.781191289370667,-1.903829917276163,2.8999999999999995,0.0108161061228449
2020-07-01,3.95831347831353,-2.051325799460767,-1.3750235631039271,4.899999999999999,0.0745598920067693,1.5,101.6,285802.0,0.4365691860507559,-0.9530778242388828,-1.877414116871932,3.1999999999999997,0.0057050238468252
2020-08-01,3.854873625281733,-2.262841978577996,-1.6848766839538052,4.899999999999999,0.0680279738065871,1.5,103.0,285802.0,0.324283533962232,-0.8611570970255045,-1.8260387112025684,3.2999999999999994,0.006890377160266
2020-09-01,3.8390722780644735,-2.2034493812566707,-1.6803894157837185,4.899999999999999,0.0732175462008299,1.5,103.3,285802.0,0.334654347271078,-0.8711331915114386,-1.8559684321995376,3.3999999999999995,0.006693050850506
2020-10-01,3.735118612630358,-2.145321216557293,-1.319971452734814,4.899999999999999,0.0794741145997982,1.5,103.4,296673.0,0.3025955742483845,-0.8455912399115326,-1.8772336449676224,3.2999999999999994,0.0094239267192659
2020-11-01,3.711017055068476,-2.1646845251514995,-1.1547583096506226,4.899999999999999,0.0801834108723208,1.5,102.7,296673.0,0.1831583781544997,-0.806884129186235,-1.737345167050462,3.3999999999999995,0.0110743265051874
2020-12-01,3.81517474810988,-2.175448498889373,-1.24861221848831,4.899999999999999,0.0622988522003641,1.5,102.2,296673.0,0.1625253932821235,-0.8183766562592061,-1.6232093324536656,3.499999999999999,0.0093852583913709
2021-01-01,3.77080054362782,-2.143498365576978,-1.0785074317029983,4.899999999999999,0.0740791067482326,1.5,102.3,312238.0,0.166325522790884,-0.877835072061139,-1.4471501834615286,3.9,0.0085951351566804
2021-02-01,3.867216739793382,-2.388134202020018,-1.529155692470335,4.899999999999999,0.0474674812775538,1.5,102.4,312238.0,0.2083048056444464,-0.7976141149874187,-1.7573913101234713,3.499999999999999,0.0042340915342812
2021-03-01,3.8096693119840936,-2.373929534248381,-1.6115568025051696,4.899999999999999,0.0434045329957374,1.5,102.6,312238.0,0.4585912814684351,-1.0359196494420282,-1.969851345771931,3.1999999999999997,0.0075697610578486
2021-04-01,3.7135535636015424,-2.2997154161654465,-1.364405379353178,4.899999999999999,0.0443403231157646,1.5,103.8,312579.0,0.6091267815383387,-1.1717753883765725,-2.224877176445612,3.0,0.012010796134647
2021-05-01,3.680686660622549,-2.257455583991816,-1.2282107965849656,4.899999999999999,0.044631496690156,1.5,104.1,312579.0,0.655338194319461,-1.2303327095009728,-2.287953818687616,2.7999999999999994,0.0149418046468991
2021-06-01,3.704114559610861,-2.274775751438442,-1.3503119727916464,4.899999999999999,0.0440330395028689,1.5,103.4,312579.0,0.7868769151859888,-1.3623339470196436,-2.3269458226708712,2.6999999999999997,0.0186404287987467
