PC1,PC2,PC3
-1.5129649038867454,-1.5467371968561696,-0.20817857625227223
-1.4528181179928739,-1.765692530394355,-0.2114716403899603
-1.4666173677783099,-2.0420129510039366,-0.25273939150578634
-1.4811011393791067,-1.730209828308226,-0.4249060946268439
-1.4442722852169076,-1.6123371870945922,-0.18231145116734837
-1.3938507188188904,-1.6581682263997137,-0.37829513429729716
-1.4218695966710198,-1.595735612182315,-0.2924690739756456
-1.3832112963195602,-1.673814502258647,-0.4755006443274745
-1.3502460190159724,-1.636390010272169,-0.3340648744936236
-1.3462158621327254,-1.6571108086945823,-0.4550962010796578
-1.3123887866337915,-1.6927902716923038,-0.47663927971585457
-1.3124023373093405,-1.5971387049524712,-0.45916364239162016
-1.2884303269010822,-1.2123182743443368,-0.4547471102407097
-1.2467315947656221,-1.2882165342290859,-0.354569854870928
-1.2283887141080894,-1.4266798008110313,-0.33524101218537805
-1.20645514654264,-1.1325349809500715,-0.3299733615405321
-1.1639990583926698,-1.0471196482043634,-0.31389501476654175
-1.1171791357033989,-1.261847778933826,-0.23809520405070178
-1.1704918349640236,-1.3221460390046842,-0.1579913415955835
-1.19416231412807,-1.0860922181411874,-0.06996152008513049
-1.1718575902192527,-0.9875810759203353,-0.1095370625600819
-1.1703509428773557,-0.8797186407475756,-0.18763454160136747
-1.1718124020511278,-0.8345613570049278,-0.21383166547671245
-1.2186052908045741,-0.8573372446486925,-0.21793491292834818
-1.2540190054311404,-0.5525417294027365,-0.13083100291189706
-1.1858122284645152,-0.7984592872642996,0.0992142859743281
-1.1806802142800936,-0.6541726547063378,0.15802111538393082
-1.0591415139123752,-0.4965453515359425,0.07239848626596299
-1.001701877465848,-0.5173358143463239,0.10971099456558293
-0.9949194980575673,-0.5606908408391206,0.2340690650889891
-1.1109100048237277,-0.39973581123846513,0.5625803536011347
-1.1146437362471358,-0.34339061617623884,0.562627968882793
-1.2200904556090737,0.09209876380314765,0.9467309443591138
-1.224418496189398,0.14294233128964787,0.9204216096589573
-1.171208541788096,0.19179138950848845,0.8156648748326752
-1.1524055940637579,0.2318469030146427,0.6952704277099202
-1.2432603401382996,0.2927357372948884,0.6605637365290326
-1.224502048022781,0.17466758719788245,0.6581124887428305
-1.219528120357962,0.22792157152520415,0.8428015504668217
-1.858806809811591,0.731666726657403,1.177348102754737
-1.8041977747178095,0.5999672357776102,1.1165428246566038
-1.8003869158174182,0.3823937654966565,1.1762529487176978
-2.042375107808666,0.7124188332366057,0.5126379434590357
-1.9721588463850352,0.8357740148942243,0.5857575161993713
-1.9513987933878438,0.8195159700313873,0.5708357404175616
-1.841200622205652,0.8430190765845217,0.529581296750361
-1.927272220211628,0.9545392255145748,0.6077718249021148
-1.9739616319735194,1.022324687080077,0.6106532541761189
-1.833253447483416,1.1712172167397756,0.45384249777018093
-1.7760400836248278,0.9608597577787081,0.5106172171734246
-1.730898626874353,0.7127390443218399,0.26290450363885975
-1.6269182999922986,0.5088006297728406,0.10321541762100228
-1.6063649780092246,0.45119954262385764,0.04399849603540095
-1.6374052986480108,0.34607158394667575,-0.07904934166716192
-1.5405771962843013,0.48839367647532184,-0.052555319716279775
-1.5656975987765405,0.6418268406426852,0.10690560392549595
-1.5388953637166112,0.7591624343933503,0.2938060119144458
-1.3966398863448781,0.7663040609215814,-0.012202201940350113
-1.4030513745504787,0.9630041281533823,-0.061889603632436056
-1.4757861693925258,1.3116942793209925,0.07378085151507575
-1.5699595124562167,1.5095805149099197,0.22711137134737117
-1.472840881156441,1.291675555062082,0.07911663994234708
-1.3460534538063644,1.2753519307667225,-0.09600119419129291
-1.1237679559282334,1.237706160616516,-0.3834199710498594
-1.0274432080172011,0.6730814532953161,-0.685835653277667
-0.918705394159646,0.7049470057801273,-0.9054157733487441
-0.82508325452183,1.7676080271269252,-1.7906108248447947
-0.6417894170379362,1.9884890137741573,-1.3732771072901349
-0.5085018601943668,2.160552372713935,-1.0663229939739474
0.06720903898423759,1.7380646345241395,-1.099021155173971
0.3712816571589883,1.6722835556670006,-1.1196633737191566
0.37118446266575433,2.5280053815969405,-0.814033967587059
1.0338344301416174,2.619978010794317,-0.38405638340786785
1.3821790177084872,2.863187254046909,-0.10223041155052634
1.532128898473143,2.914105716091441,-0.046960051895950386
2.2611801515984626,2.289998811040032,0.5333071400995107
2.443673667371102,0.6896115042089408,0.7964553049252722
2.4580076064936414,0.11935277970057773,0.8575157217085952
2.673594235972231,0.31892536581641867,1.0371692119377693
2.758267471865137,0.48179954498474264,1.157290699616378
2.856502502831117,0.15232679388406695,0.9539714229412691
2.966872826933326,0.005950628140325255,0.8355438198679797
3.0325915132347885,-0.4928267550553763,0.6633627894589569
3.0224840758309113,-0.7130869808823742,0.9020884493218466
2.9810905956607465,-1.071135472434068,1.4606537321098496
3.028448400832617,-1.2617246784991434,1.4922678101620162
3.0469649262731964,-0.7849585375303006,1.3187430808109653
3.1320967178394845,-0.5502755427497862,1.2198568840379862
3.0965331762998196,-0.388422487353397,1.072803807921762
3.092287660452148,-0.1594648943265072,0.9407361189800092
2.9932054552208593,-0.0527230329794895,0.47852327216507184
3.028542775710528,-0.23258287126743116,0.36184306473365657
3.001747099192335,-0.45452336333573407,0.6425286173736888
3.068778688745235,-0.7802199479723817,0.642960705102413
2.9460007715739107,-0.6815028665169808,0.30717412345184014
2.8612709793700515,-0.35323970361977125,0.2384963849010774
2.565024988681057,-0.02965525726844073,0.05422440694924291
2.5776728857155256,0.06915961045728244,-0.435842579737882
2.4470476493940696,0.14275273605345837,-0.5670459731281198
2.34505457460848,-0.06642587538352447,-1.3604422578241415
2.263713744469811,-0.6014697694701342,-1.3169156067294931
2.253947907393916,-0.5153267910705471,-1.536290776132834
2.292099059466952,-0.1313800804456709,-1.6782941965630829
